노선명,역명,승차총승객수,하차총승객수,승하차총승객수
경부선,독산,313372,327620,640992
경부선,두정,63502,63217,126719
경부선,명학,167610,164376,331986
경부선,병점,219289,214637,433926
경부선,서동탄,26839,21560,48399
경부선,서울역,55016,19000,74016
경부선,서정리,83695,82078,165773
경부선,석수,183502,159824,343326
경부선,성균관대,231568,227742,459310
경부선,성환,45781,45574,91355
경부선,세류,51742,47749,99491
경부선,세마,40007,36766,76773
경부선,송탄,61379,58645,120024
경부선,수원,518070,558365,1076435
경부선,신길,168474,140992,309466
경부선,신도림,70608,68093,138701
경부선,안양,368388,370856,739244
경부선,영등포,626775,652901,1279676
경부선,오산,144109,142676,286785
경부선,오산대,45239,39610,84849
경부선,용산,509937,524759,1034696
경부선,의왕,160139,159153,319292
경부선,지제,37327,34515,71842
경부선,직산,10686,10708,21394
경부선,진위,25701,22210,47911
경부선,천안,60369,62367,122736
경부선,평택,164320,159833,324153
경부선,화서,127241,121824,249065
경원선,가능,115189,110574,225763
경원선,광운대,147375,135671,283046
경원선,녹양,82652,78517,161169
경원선,녹천,84604,70282,154886
경원선,덕계,42098,37102,79200
경원선,덕정,97644,95906,193550
경원선,도봉,107565,101997,209562
경원선,도봉산,136776,80820,217596
경원선,동두천,32465,38195,70660
경원선,동두천중앙,54515,52666,107181
경원선,망월사,123084,126027,249111
경원선,방학,168039,163181,331220
경원선,보산,26414,23699,50113
경원선,서빙고,29777,27135,56912
경원선,석계,150121,171580,321701
경원선,소요산,43036,35157,78193
경원선,신이문,157322,142475,299797
경원선,양주,137204,127787,264991
경원선,옥수,727,437,1164
경원선,왕십리(성동구청),238266,267686,505952
경원선,외대앞,129719,127795,257514
경원선,월계,102530,96872,199402
경원선,응봉,30799,27132,57931
경원선,의정부,313927,325867,639794
경원선,이촌(국립중앙박물관),60471,46411,106882
경원선,지행,107292,105016,212308
경원선,창동,4,0,4
경원선,청량리(서울시립대입구),212374,232958,445332
경원선,한남,75509,71545,147054
경원선,회룡,214941,208991,423932
경의선,가좌,88062,80859,168921
경의선,강매,53250,45568,98818
경의선,계양,2,0,2
경의선,곡산,9505,10024,19529
경의선,공덕,59635,54278,113913
경의선,금릉,75801,74597,150398
경의선,금촌,107279,105348,212627
경의선,능곡,63162,57371,120533
경의선,디지털미디어시티,38335,36820,75155
경의선,문산,84763,83854,168617
경의선,백마,117847,110984,228831
경의선,서강대,33068,31935,65003
경의선,서울역,67592,89178,156770
경의선,수색,41517,42859,84376
경의선,신촌,13245,17481,30726
경의선,야당,96595,92710,189305
경의선,운정,101621,94052,195673
경의선,월롱,38369,33815,72184
경의선,일산,153784,153115,306899
경의선,임진강,48,37,85
경의선,탄현,129333,125254,254587
경의선,파주,18597,13625,32222
경의선,풍산,89135,82622,171757
경의선,행신,130665,128154,258819
경의선,홍대입구,27235,30253,57488
경의선,화전,25781,23671,49452
경의선,효창공원앞,50252,56996,107248
경인선,간석,102984,96964,199948
경인선,개봉,373494,378727,752221
경인선,구일,106358,108476,214834
경인선,도원,46376,47718,94094
경인선,도화,65849,58279,124128
경인선,동암,283082,281908,564990
경인선,동인천,249920,236195,486115
경인선,백운,126214,124462,250676
경인선,부개,150630,141953,292583
경인선,부천,595558,598984,1194542
경인선,부평,515492,544558,1060050
경인선,소사,167646,156859,324505
경인선,송내,531683,524727,1056410
경인선,역곡,493816,488799,982615
경인선,오류동,208306,196170,404476
경인선,온수(성공회대입구),107308,105724,213032
경인선,인천,50004,37625,87629
경인선,제물포,170498,160081,330579
경인선,주안,347341,319002,666343
