지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
서울지방병무청,2038,2177,2038,2177,37.5057661785548,126.922726823845
대방,1682,1245,1682,1245,37.5128688879851,126.925248506022
샛강,2155,2702,2155,2702,37.5175286381865,126.930460204563
샛강,2203,2890,2203,2890,37.5175286381865,126.930460204563
대방,1818,1383,1818,1383,37.5128688879851,126.925248506022
서울지방병무청,2046,2217,2046,2217,37.5057661785548,126.922726823845
보라매,2590,2255,2590,2255,37.5008205922635,126.920735867544
보라매공원,1599,1712,1599,1712,37.4930838003695,126.919756524074
보라매병원,5625,5626,5625,5626,37.4938896313487,126.924073975494
당곡,3383,3155,3383,3155,37.4898907244889,126.927718112844
신림,1669,2261,1669,2261,37.4841196518392,126.928712092948
서원,2590,2223,2590,2223,37.478259985687,126.933262205033
서울대벤처타운,6117,6136,6117,6136,37.4720905385625,126.933969602866
관악산,3171,3095,3171,3095,37.4687413067708,126.945653230284
샛강,1425,2074,1425,2074,37.5175286381865,126.930460204563
대방,1862,1186,1862,1186,37.5128688879851,126.925248506022
서울지방병무청,1873,1983,1873,1983,37.5057661785548,126.922726823845
보라매,2240,1955,2240,1955,37.5008205922635,126.920735867544
보라매공원,1612,1751,1612,1751,37.4930838003695,126.919756524074
보라매병원,3203,3017,3203,3017,37.4938896313487,126.924073975494
당곡,2857,2556,2857,2556,37.4898907244889,126.927718112844
신림,1669,2135,1669,2135,37.4841196518392,126.928712092948
서원,2355,1965,2355,1965,37.478259985687,126.933262205033
서울대벤처타운,5877,5305,5877,5305,37.4720905385625,126.933969602866
관악산,4731,4933,4731,4933,37.4687413067708,126.945653230284
관악산,4917,5159,4917,5159,37.4687413067708,126.945653230284
서울대벤처타운,4575,4322,4575,4322,37.4720905385625,126.933969602866
서원,1888,1655,1888,1655,37.478259985687,126.933262205033
신림,1327,1817,1327,1817,37.4841196518392,126.928712092948
당곡,2183,2158,2183,2158,37.4898907244889,126.927718112844
보라매병원,2155,2183,2155,2183,37.4938896313487,126.924073975494
