지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
삼양사거리,2324,2370,2324,2370,37.6214280999689,127.020237295242
정릉,4222,4004,4222,4004,37.6026876819314,127.013496185509
북한산보국문,5377,5290,5377,5290,37.6121461272569,127.008208009279
솔샘,5484,5208,5484,5208,37.6202522935181,127.013408969328
삼양,1901,2053,1901,2053,37.626835165677,127.018198221331
가오리,3902,3896,3902,3896,37.641713417798,127.016940435565
북한산우이,2405,2143,2405,2143,37.6629661525542,127.012702176264
솔밭공원,2405,2302,2405,2302,37.6561546882896,127.013091650663
4.19민주묘지,2626,2480,2626,2480,37.6494786329719,127.013478245674
화계,3182,2960,3182,2960,37.6339304770753,127.0172978051
삼양,1914,2051,1914,2051,37.626835165677,127.018198221331
삼양사거리,2316,2317,2316,2317,37.6214280999689,127.020237295242
솔샘,5655,5448,5655,5448,37.6202522935181,127.013408969328
북한산보국문,5576,5514,5576,5514,37.6121461272569,127.008208009279
정릉,4341,4097,4341,4097,37.6026876819314,127.013496185509
성신여대입구,3128,3396,3128,3396,37.5927179261346,127.016477649743
보문,1370,1393,1370,1393,37.5847632748488,127.019790458317
신설동,1995,1907,1995,1907,37.5762451837487,127.023278761358
성신여대입구,3095,3449,3095,3449,37.5927179261346,127.016477649743
보문,1410,1446,1410,1446,37.5847632748488,127.019790458317
신설동,2083,1962,2083,1962,37.5762451837487,127.023278761358
북한산우이,2549,2315,2549,2315,37.6629661525542,127.012702176264
솔밭공원,2372,2252,2372,2252,37.6561546882896,127.013091650663
4.19민주묘지,2581,2487,2581,2487,37.6494786329719,127.013478245674
가오리,3966,3916,3966,3916,37.641713417798,127.016940435565
화계,3180,2968,3180,2968,37.6339304770753,127.0172978051
삼양,1986,2092,1986,2092,37.626835165677,127.018198221331
삼양사거리,2358,2377,2358,2377,37.6214280999689,127.020237295242
솔샘,5701,5375,5701,5375,37.6202522935181,127.013408969328
북한산보국문,5715,5546,5715,5546,37.6121461272569,127.008208009279
정릉,4422,4173,4422,4173,37.6026876819314,127.013496185509
신설동,2091,1971,2091,1971,37.5762451837487,127.023278761358
보문,1420,1428,1420,1428,37.5847632748488,127.019790458317
성신여대입구,3111,3413,3111,3413,37.5927179261346,127.016477649743
정릉,4483,4147,4483,4147,37.6026876819314,127.013496185509
북한산보국문,5683,5511,5683,5511,37.6121461272569,127.008208009279
솔샘,5708,5384,5708,5384,37.6202522935181,127.013408969328
삼양사거리,2362,2375,2362,2375,37.6214280999689,127.020237295242
삼양,1926,2106,1926,2106,37.626835165677,127.018198221331
