사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,퇴근시간 승차인원,퇴근시간 하차인원
202210,경부선,신도림,25784,24732,30251,34770
202210,경부선,안양,196982,85137,126724,220833
202210,경부선,영등포,116575,209162,368601,285431
202210,경부선,오산,69595,56871,70693,87506
202210,경부선,오산대,31341,17272,23013,31998
202210,경부선,용산,64379,277872,388964,234893
202210,경부선,의왕,70952,63898,62684,66326
202210,경부선,직산,5712,7719,8013,5740
202210,경부선,진위,8039,20879,21067,7630
202210,경부선,천안,30043,26235,50103,54569
202210,경부선,평택,75565,55158,92444,114217
202210,경부선,평택지제,25384,34257,36999,26420
202210,경부선,화서,100946,23514,30259,89850
202209,경부선,가산디지털단지,38794,215371,213655,74157
202209,경부선,관악,75915,21976,30090,66393
202209,경부선,광명,25236,15768,27085,24980
202209,경부선,구로,94134,114159,133657,109580
202209,경부선,군포,46720,78651,64987,38238
202209,경부선,금정,214327,145321,165023,229301
202209,경부선,금천구청,107380,49644,54706,106375
202209,경부선,남영,36561,80905,83560,54771
202209,경부선,노량진,49610,32499,50690,79687
202209,경부선,당정,61520,28150,33903,51514
202209,경부선,대방,70534,85151,77377,78854
202209,경부선,독산,108372,159033,166559,104662
202209,경부선,두정,41590,37996,49541,56471
202209,경부선,명학,60629,88295,78327,49538
202209,경부선,병점,126660,66127,90148,133097
202209,경부선,서동탄,18728,3681,5271,13133
202209,경부선,서울역,29847,14300,53490,20390
202209,경부선,서정리,44366,43701,64407,52787
202209,경부선,석수,90698,34479,43961,78740
202209,경부선,성균관대,151142,42623,68623,145043
202209,경부선,성환,17087,37599,45145,23533
202209,경부선,세류,33033,10794,16729,27368
202209,경부선,세마,25614,15617,18072,23550
202209,경부선,송탄,34486,18762,27239,39066
202209,경부선,수원,179366,167471,272290,321743
202209,경부선,신길,66094,51838,57309,53248
202209,경부선,신도림,25781,24623,28898,31700
202209,경부선,안양,196142,83081,126146,211122
202209,경부선,영등포,115250,206359,348818,272689
202209,경부선,오산,67982,55780,69489,83260
202209,경부선,오산대,31328,17976,22767,30937
202209,경부선,용산,59507,259643,361187,213260
202209,경부선,의왕,69568,62064,59449,63413
202209,경부선,직산,5392,7625,7797,5664
202209,경부선,진위,7534,19974,20208,7248
202209,경부선,천안,29020,26003,51213,53311
202209,경부선,평택,74400,54050,90175,111837
202209,경부선,평택지제,24156,31518,33814,25389
202209,경부선,화서,101095,22232,28083,86013
202208,경부선,가산디지털단지,37535,222881,225055,70161
202208,경부선,관악,72053,22116,29456,63923
202208,경부선,광명,24599,15740,27327,24824
202208,경부선,구로,91655,115403,132664,106752
202208,경부선,군포,44983,78055,66070,37501
202208,경부선,금정,204133,143555,162842,217456
202208,경부선,금천구청,101070,48493,51878,100994
202208,경부선,남영,35054,74899,83337,52560
202208,경부선,노량진,46412,30035,46023,68991
202208,경부선,당정,57932,25800,29377,49071
202208,경부선,대방,65977,87116,79000,74436
202208,경부선,독산,103485,161907,172154,101075
202208,경부선,두정,35985,19772,32595,45843
202208,경부선,명학,58318,82187,71293,47674
202208,경부선,병점,111662,57449,75960,117279
202208,경부선,서동탄,17750,3925,5101,12537
202208,경부선,서울역,29402,14952,55360,19243
202208,경부선,서정리,38773,39289,55018,47373
202208,경부선,석수,86424,33435,41600,75064
202208,경부선,성균관대,141657,35285,57593,137053
202208,경부선,성환,15686,23317,26090,20094
202208,경부선,세류,30958,10587,14622,25262
202208,경부선,세마,23170,14630,16748,21717
202208,경부선,송탄,31264,17527,25284,34802
202208,경부선,수원,163693,149076,245156,284954
202208,경부선,신길,65093,49544,56638,52207
202208,경부선,신도림,24200,24151,27834,29645
202208,경부선,안양,185732,63759,95708,198548
202208,경부선,영등포,111610,207108,355013,265468
202208,경부선,오산,59518,55964,63919,71887
202208,경부선,오산대,27786,15345,19093,27571
202208,경부선,용산,59280,263861,379975,209956
202208,경부선,의왕,65583,60543,56982,60750
202208,경부선,직산,4905,7127,7403,4806
202208,경부선,진위,6665,18789,18978,6504
202208,경부선,천안,24479,19814,34664,41575
202208,경부선,평택,61375,47306,76008,90886
202208,경부선,평택지제,20815,31535,32145,21305
202208,경부선,화서,92324,20986,26511,80125
202207,경부선,가산디지털단지,38106,231993,228255,74337
202207,경부선,관악,74805,23623,32203,65510
202207,경부선,광명,25263,16759,27006,24455
202207,경부선,구로,95292,121365,141038,112533
202207,경부선,군포,46283,82828,68950,37694
202207,경부선,금정,212490,153382,170590,222511
202207,경부선,금천구청,106379,51510,54390,103561
202207,경부선,남영,35166,77018,84966,54979
202207,경부선,노량진,46209,29972,47441,70940
202207,경부선,당정,60055,28084,31408,49450
202207,경부선,대방,70082,89194,80585,76880
202207,경부선,독산,106771,168298,176178,103797
202207,경부선,두정,37422,20467,34366,46994
202207,경부선,명학,60885,85030,73607,49913
202207,경부선,병점,117363,59503,80913,122677
202207,경부선,서동탄,18433,4106,5459,13256
202207,경부선,서울역,29722,14346,52835,19678
202207,경부선,서정리,39943,39269,56480,48943
202207,경부선,석수,90398,36032,44512,76707
202207,경부선,성균관대,149714,36381,60212,142520
202207,경부선,성환,17262,22765,25878,21232
202207,경부선,세류,32163,11324,16124,26806
202207,경부선,세마,24143,15631,17395,22647
202207,경부선,송탄,32480,18749,26580,36980
202207,경부선,수원,170735,154345,260362,304577
202207,경부선,신길,65990,53200,58433,52529
202207,경부선,신도림,25215,26143,29494,31472
202207,경부선,안양,194450,66062,98561,205291
202207,경부선,영등포,114088,209521,368288,284995
202207,경부선,오산,61578,59424,69025,75945
202207,경부선,오산대,28625,15798,20686,28282
202207,경부선,용산,60468,269766,389623,223274
202207,경부선,의왕,69164,64653,60210,62611
202207,경부선,직산,5003,7757,8181,4844
202207,경부선,진위,6984,19925,20290,6748
202207,경부선,천안,25781,20472,35504,43980
202207,경부선,평택,66205,48639,80071,95456
202207,경부선,평택지제,21586,31541,33823,22179
202207,경부선,화서,98535,21964,28250,83515
202206,경부선,가산디지털단지,37967,222332,221815,73315
202206,경부선,관악,75454,22607,30926,65528
202206,경부선,광명,25258,16703,27296,25225
202206,경부선,구로,95468,119060,136833,112279
202206,경부선,군포,45821,82031,67837,38400
202206,경부선,금정,212323,150387,164312,221713
202206,경부선,금천구청,107342,51783,53810,106628
202206,경부선,남영,34280,77477,81064,52781
202206,경부선,노량진,47630,29845,47509,73823
202206,경부선,당정,59700,28901,33062,50109
202206,경부선,대방,72565,87291,79590,79300
202206,경부선,독산,107193,163125,169024,104285
202206,경부선,두정,38520,28043,40530,49061
202206,경부선,명학,59395,86925,75325,50055
202206,경부선,병점,122950,61797,82911,127242
202206,경부선,서동탄,18531,4035,5423,13019
202206,경부선,서울역,29988,14124,53652,19053
202206,경부선,서정리,41845,41089,57102,49545
202206,경부선,석수,89940,35825,44108,77081
202206,경부선,성균관대,145754,38079,60747,140724
202206,경부선,성환,17659,28655,31309,22708
202206,경부선,세류,32168,10947,15513,27027
202206,경부선,세마,24461,15051,17298,22611
202206,경부선,송탄,33286,18702,25770,37191
202206,경부선,수원,172502,159586,254932,296071
202206,경부선,신길,65493,55121,59352,52751
202206,경부선,신도림,25531,25862,29673,32055
202206,경부선,안양,193284,75575,113230,207015
202206,경부선,영등포,113946,204411,347418,268453
202206,경부선,오산,65042,58960,68294,77055
202206,경부선,오산대,29335,17438,21439,29014
202206,경부선,용산,58924,264482,370226,206052
202206,경부선,의왕,70734,65832,61084,62974
202206,경부선,직산,5294,7423,7826,5117
202206,경부선,진위,7410,19834,20067,6884
202206,경부선,천안,26679,23603,40765,45219
202206,경부선,평택,70665,50475,81134,100341
202206,경부선,평택지제,21699,31310,32705,21242
202206,경부선,화서,98224,21815,27607,83652
202205,경부선,가산디지털단지,39675,230543,229458,80243
202205,경부선,관악,79928,23429,33577,69501
202205,경부선,광명,26211,16816,28134,26434
202205,경부선,구로,100892,122497,141264,120148
202205,경부선,군포,48033,87168,72247,40565
202205,경부선,금정,223865,156363,172631,234244
202205,경부선,금천구청,115817,51903,57449,114876
202205,경부선,남영,34753,83925,86962,55329
202205,경부선,노량진,51113,35508,54707,83772
202205,경부선,당정,63342,32292,38989,54299
202205,경부선,대방,85964,98010,92611,92197
202205,경부선,독산,114103,166438,174613,111918
202205,경부선,두정,42069,36170,50888,56839
202205,경부선,명학,62442,94361,84072,53086
202205,경부선,병점,136539,67700,93956,145409
202205,경부선,서동탄,19256,4271,5600,14133
202205,경부선,서울역,31331,14523,54763,20397
202205,경부선,서정리,46103,43403,63058,55801
202205,경부선,석수,95707,37595,47412,83282
202205,경부선,성균관대,155404,44197,72034,156406
202205,경부선,성환,17943,38167,46110,24407
202205,경부선,세류,33567,11307,16352,28695
202205,경부선,세마,26508,15235,18026,25024
202205,경부선,송탄,37444,18695,27761,41780
202205,경부선,수원,188787,178688,295269,336923
202205,경부선,신길,69458,56616,62971,56664
202205,경부선,신도림,26465,27246,30548,33927
202205,경부선,안양,207322,84118,136942,226861
202205,경부선,영등포,118222,212790,359607,288762
202205,경부선,오산,72116,62236,74566,86846
202205,경부선,오산대,31908,19250,26105,32500
202205,경부선,용산,61756,269665,383028,219678
202205,경부선,의왕,76299,68886,66471,69534
202205,경부선,직산,5520,7638,8274,5532
202205,경부선,진위,8330,20121,20701,7456
202205,경부선,천안,28868,27699,53416,53135
202205,경부선,평택,79803,55148,92573,117286
202205,경부선,평택지제,22644,31115,32597,22951
202205,경부선,화서,104768,22427,30237,90255
202204,경부선,가산디지털단지,37117,217621,220243,74914
202204,경부선,관악,74699,19460,29357,64810
202204,경부선,광명,23618,15216,25440,23503
202204,경부선,구로,93861,115946,132427,110720
202204,경부선,군포,45524,85289,69900,37916
202204,경부선,금정,205610,155121,164180,216809
202204,경부선,금천구청,108060,48849,53142,108128
