사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,경인선,소사,9892,9662,19554,주말
20200104,경인선,부개,7685,7116,14801,주말
20200104,경인선,간석,5431,4986,10417,주말
20200104,경인선,도원,2691,2664,5355,주말
20200104,경인선,온수,6027,5480,11507,주말
20200104,경인선,중동,8078,7446,15524,주말
20200104,경인선,도화,3447,2960,6407,주말
20200104,일산선,원당,9947,9177,19124,주말
20200104,경원선,이촌,3490,2510,6000,주말
20200104,경원선,서빙고,1433,1376,2809,주말
20200104,경원선,한남,3384,3289,6673,주말
20200104,경원선,옥수,34,33,67,주말
20200104,경원선,응봉,1512,1297,2809,주말
20200104,경원선,왕십리,14906,16943,31849,주말
20200104,경원선,청량리,18550,19272,37822,주말
20200104,경원선,외대앞,8104,7680,15784,주말
20200104,경원선,신이문,7227,6533,13760,주말
20200104,경원선,석계,8592,9320,17912,주말
20200104,경원선,광운대,7268,7070,14338,주말
20200104,경원선,월계,5152,4644,9796,주말
20200104,경원선,녹천,3830,3077,6907,주말
20200104,경원선,창동,1,0,1,주말
20200104,경원선,방학,8247,8063,16310,주말
20200104,경원선,도봉,4893,4595,9488,주말
20200104,경원선,도봉산,8934,5854,14788,주말
20200104,경원선,망월사,6250,6504,12754,주말
20200104,경원선,회룡,11219,11043,22262,주말
20200104,경원선,의정부,21815,23764,45579,주말
20200104,경원선,가능,6030,5698,11728,주말
20200104,경원선,녹양,4214,3883,8097,주말
20200104,경원선,양주,7638,6880,14518,주말
20200104,경원선,덕계,2062,1782,3844,주말
20200104,경원선,덕정,5597,4898,10495,주말
20200104,경원선,지행,6714,6402,13116,주말
20200104,경원선,동두천중앙,3327,3242,6569,주말
20200104,경원선,보산,1741,1619,3360,주말
20200104,경원선,동두천,1884,2217,4101,주말
20200104,경원선,소요산,4548,3328,7876,주말
20200104,안산선,산본,15782,16761,32543,주말
20200104,안산선,대야미,4212,3514,7726,주말
20200104,안산선,반월,4267,3690,7957,주말
20200104,안산선,상록수,16667,15921,32588,주말
20200104,안산선,한대앞,7074,6845,13919,주말
20200104,안산선,중앙,16613,17855,34468,주말
20200104,안산선,고잔,7053,7018,14071,주말
20200104,안산선,초지,3338,3254,6592,주말
20200104,안산선,안산,12157,11969,24126,주말
20200104,안산선,신길온천,1430,1315,2745,주말
20200104,안산선,정왕,6623,6667,13290,주말
20200104,안산선,오이도,8971,8697,17668,주말
20200104,안산선,수리산,3295,2712,6007,주말
20200104,과천선,선바위,6389,5115,11504,주말
20200104,과천선,경마공원,13625,13930,27555,주말
20200104,과천선,대공원,4370,4785,9155,주말
20200104,과천선,과천,4537,4066,8603,주말
20200104,과천선,정부과천청사,6796,6287,13083,주말
20200104,과천선,인덕원,19392,18868,38260,주말
20200104,과천선,평촌,11827,11549,23376,주말
20200104,과천선,범계,25927,25300,51227,주말
20200104,분당선,선릉,6047,9958,16005,주말
20200104,분당선,한티,14882,14056,28938,주말
20200104,분당선,도곡,5200,4825,10025,주말
