사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,lat,lng
202101,1호선,시청,50268,48833,99101,37.5654385176408,126.976983237511
202101,1호선,신길,38942,33231,72173,37.5176677017212,126.914336937521
202101,1호선,신도림,15528,15884,31412,37.5087701449787,126.891080501385
202101,1호선,신설동,59499,58590,118089,37.5762451837487,127.023278761358
202101,1호선,신이문,39113,36318,75431,37.604278644666,127.069577322142
202101,1호선,신창,5866,5911,11777,36.7694848050308,126.949921514343
202101,1호선,쌍용,8944,8126,17070,36.793655090373,127.121594290099
202101,1호선,아산,17644,14818,32462,36.7920474174232,127.104115243093
202101,1호선,안양,105814,104655,210469,37.4014349994721,126.92300270344
202101,1호선,양주,35350,34233,69583,37.7736548042753,127.044790945301
202101,1호선,역곡,120489,119578,240067,37.4852888314378,126.811871466794
202101,1호선,영등포,239908,241633,481541,37.5156680341198,126.907665995469
202101,1호선,오류동,55487,52577,108064,37.494359185399,126.844600701673
202101,1호선,오산,55813,56928,112741,37.1458951784684,127.066844907861
202101,1호선,오산대,15023,13918,28941,37.1693006160923,127.063064763281
202101,1호선,옥수,313,162,475,37.5409877747326,127.018965435917
202101,1호선,온수,28123,27075,55198,37.4921502838112,126.823380714316
202101,1호선,온양온천,24535,24458,48993,36.7804682813951,127.003451110541
202101,1호선,왕십리,68004,78563,146567,37.5612217415191,127.036655378283
202101,1호선,외대앞,40394,39378,79772,37.5954136758127,127.063058800869
202101,1호선,용산,180084,172354,352438,37.5297718014452,126.964741503485
202101,1호선,월계,29820,28118,57938,37.6321089404669,127.058729394991
202101,1호선,응봉,8242,7220,15462,37.5504482266748,127.034927944532
202101,1호선,의왕,34735,34717,69452,37.3211117738404,126.948383028902
202101,1호선,의정부,104996,107269,212265,37.7379901517646,127.045879450143
202101,1호선,이촌,16841,13077,29918,37.522520254623,126.973683151228
202101,1호선,인천,21618,17777,39395,37.4765938446837,126.617089760956
202101,1호선,제기동,95164,99887,195051,37.5781967284885,127.034690599752
202101,1호선,제물포,44597,43419,88016,37.466803102521,126.656869633392
202101,1호선,종각,91522,84900,176422,37.5702140381269,126.983239678933
202101,1호선,종로3가,110100,101870,211970,37.5704266025836,126.99202930223
202101,1호선,종로5가,84397,85093,169490,37.5709075371016,127.001916647342
202101,1호선,주안,94244,84631,178875,37.464767076602,126.679517004054
202101,1호선,중동,39743,37450,77193,37.4866184306426,126.764292213307
202101,1호선,지제,15810,14742,30552,37.0187847572567,127.070485287852
202101,1호선,지행,31135,30311,61446,37.8918774567748,127.055664161171
202101,1호선,직산,3876,3983,7859,36.8713897700414,127.143691456107
202101,1호선,진위,6163,5664,11827,37.1099375555493,127.062366903315
202101,1호선,창동,2,0,2,37.6532174818989,127.047714954434
202101,1호선,천안,36720,36573,73293,36.8123208138282,127.146822493854
202101,1호선,청량리,205325,208270,413595,37.5802331563072,127.045085886324
202101,1호선,평택,79250,79489,158739,36.9918974768998,127.083288658126
202101,1호선,한남,17025,16310,33335,37.5291881521046,127.008249820572
