노선명,역명,승차총승객수,하차총승객수,승하차총승객수
9호선,사평,55581,54471,110052
9호선,샛강,98505,103850,202355
9호선,선유도,139153,134989,274142
9호선,신논현,536908,540371,1077279
9호선,신목동,70645,63885,134530
9호선,신반포,52099,51732,103831
9호선,신방화,125149,121611,246760
9호선,양천향교,172021,175547,347568
9호선,여의도,429664,414279,843943
9호선,염창,314593,307566,622159
9호선,증미,138441,139527,277968
9호선,흑석(중앙대입구),143184,148756,291940
9호선2~3단계,둔촌오륜,19044,17213,36257
9호선2~3단계,봉은사,266022,267519,533541
9호선2~3단계,삼성중앙,121815,125652,247467
9호선2~3단계,삼전,116997,113666,230663
9호선2~3단계,석촌,136268,119533,255801
9호선2~3단계,석촌고분,101119,99674,200793
9호선2~3단계,선정릉,171258,182477,353735
9호선2~3단계,송파나루,76816,80487,157303
9호선2~3단계,언주,180719,181123,361842
9호선2~3단계,올림픽공원(한국체대),97999,95951,193950
9호선2~3단계,종합운동장,71734,70452,142186
9호선2~3단계,중앙보훈병원,177890,156818,334708
9호선2~3단계,한성백제,42074,37723,79797
경강선,경기광주,127124,121834,248958
경강선,곤지암,36824,37026,73850
경강선,부발,32389,29031,61420
경강선,삼동,42143,38052,80195
경강선,세종대왕릉,4926,5092,10018
경강선,신둔도예촌,20253,19240,39493
경강선,여주,30211,32437,62648
경강선,이매,18990,16320,35310
경강선,이천,41122,43894,85016
경강선,초월,53638,51863,105501
경강선,판교,76927,74683,151610
경부선,가산디지털단지,337018,393991,731009
경부선,관악,137131,126855,263986
경부선,광명,54428,49094,103522
경부선,구로,371803,378132,749935
경부선,군포,149164,148479,297643
경부선,금정,481958,495124,977082
경부선,금천구청,219178,217016,436194
경부선,남영,181971,190037,372008
경부선,노량진,148507,152010,300517
경부선,당정,115881,111043,226924
경부선,대방,243232,246201,489433
경부선,독산,323150,342347,665497
경부선,두정,92229,92793,185022
경부선,명학,175327,172917,348244
경부선,병점,242065,238038,480103
경부선,서동탄,29861,24971,54832
경부선,서울역,72943,22972,95915
경부선,서정리,103031,98337,201368
경부선,석수,194820,170121,364941
경부선,성균관대,257760,252248,510008
경부선,성환,71947,70664,142611
경부선,세류,55947,53013,108960
경부선,세마,46094,42253,88347
경부선,송탄,75905,70445,146350
경부선,수원,599278,645697,1244975
경부선,신길,179799,149368,329167
경부선,신도림,78297,78015,156312
경부선,안양,401963,405762,807725
경부선,영등포,680853,707650,1388503
경부선,오산,169327,168036,337363
경부선,오산대,56130,52368,108498
경부선,용산,550555,576177,1126732
경부선,의왕,165255,163888,329143
경부선,지제,46185,42940,89125
경부선,직산,13119,13353,26472
경부선,진위,30267,26821,57088
경부선,천안,89543,93007,182550
경부선,평택,203291,199991,403282
경부선,화서,136060,131614,267674
경원선,가능,123259,119347,242606
경원선,광운대,151789,142642,294431
경원선,녹양,85673,82260,167933
경원선,녹천,88658,74822,163480
경원선,덕계,49279,44481,93760
경원선,덕정,104198,102742,206940
경원선,도봉,119033,114823,233856
경원선,도봉산,146972,90743,237715
경원선,동두천,35269,42564,77833
경원선,동두천중앙,58125,57002,115127
경원선,망월사,137118,140412,277530
경원선,방학,181077,178540,359617
경원선,보산,28553,26315,54868
경원선,서빙고,36105,31905,68010
경원선,석계,156780,178835,335615
경원선,소요산,57288,49255,106543
경원선,신이문,166075,153521,319596
경원선,양주,144141,135514,279655
경원선,옥수,781,572,1353
경원선,왕십리(성동구청),249608,284889,534497
경원선,외대앞,137596,133950,271546
경원선,월계,116501,109866,226367
경원선,응봉,33620,28757,62377
경원선,의정부,325751,335277,661028
경원선,이촌(국립중앙박물관),71649,54036,125685
경원선,지행,113941,112596,226537
경원선,창동,2,0,2
경원선,청량리(서울시립대입구),246232,275190,521422
경원선,한남,81452,75893,157345
경원선,회룡,232222,228545,460767
경의선,가좌,97556,90161,187717
경의선,강매,56997,48314,105311
경의선,계양,3,0,3
경의선,곡산,10604,11204,21808
