사용일자,노선명,역명,승차총승객수,하차총승객수
20200106,9호선,김포공항,9207,12623
20200106,9호선,노들,5019,4388
20200106,9호선,노량진,32144,32518
20200106,9호선,당산,20757,20359
20200106,9호선,동작(현충원),2255,1699
20200106,9호선,등촌,12151,12269
20200106,9호선,마곡나루,11234,11299
20200106,9호선,사평,3767,3815
20200106,9호선,샛강,6472,6830
20200106,9호선,선유도,8557,8306
20200106,9호선,신논현,38539,38682
20200106,9호선,신목동,4417,4034
20200106,9호선,신반포,3450,3438
20200106,9호선,신방화,7439,7430
20200106,9호선,양천향교,9892,10242
20200106,9호선,여의도,27943,26805
20200106,9호선,염창,19123,18690
20200106,9호선,증미,8077,8173
20200106,9호선,흑석(중앙대입구),9752,10426
20200106,9호선2~3단계,둔촌오륜,1188,1126
20200106,9호선2~3단계,봉은사,19340,19443
20200106,9호선2~3단계,삼성중앙,7526,7753
20200106,9호선2~3단계,삼전,6676,6810
20200106,9호선2~3단계,석촌,7878,6763
20200106,9호선2~3단계,석촌고분,5844,5899
20200106,9호선2~3단계,선정릉,10289,11068
20200106,9호선2~3단계,송파나루,4428,4778
20200106,9호선2~3단계,언주,11316,11324
20200106,9호선2~3단계,올림픽공원(한국체대),5667,5528
20200106,9호선2~3단계,종합운동장,5137,4819
20200106,9호선2~3단계,중앙보훈병원,10587,9825
20200106,9호선2~3단계,한성백제,2392,2209
20200106,경강선,경기광주,7858,7433
20200106,경강선,곤지암,2087,2043
20200106,경강선,부발,1724,1711
20200106,경강선,삼동,2595,2240
20200106,경강선,세종대왕릉,270,252
20200106,경강선,신둔도예촌,1243,1144
20200106,경강선,여주,1938,1900
20200106,경강선,이매,1206,1024
20200106,경강선,이천,2747,2941
20200106,경강선,초월,3028,2880
20200106,경강선,판교,5020,4879
20200106,경부선,가산디지털단지,20836,24326
20200106,경부선,관악,8585,7880
20200106,경부선,광명,3401,2505
20200106,경부선,구로,20947,21034
20200106,경부선,군포,8098,8098
20200106,경부선,금정,28931,29525
20200106,경부선,금천구청,13222,12747
20200106,경부선,남영,11502,12170
20200106,경부선,노량진,11167,10956
20200106,경부선,당정,7361,6891
20200106,경부선,대방,15476,16117
20200106,경부선,독산,18985,19588
20200106,경부선,두정,4757,5022
20200106,경부선,명학,10353,9945
20200106,경부선,병점,15444,15381
20200106,경부선,서동탄,1904,1533
20200106,경부선,서울역,6832,1686
20200106,경부선,서정리,5344,5536
20200106,경부선,석수,11790,10286
20200106,경부선,성균관대,15716,15610
20200106,경부선,성환,3420,3674
20200106,경부선,세류,3649,3306
20200106,경부선,세마,2889,2502
20200106,경부선,송탄,4315,3989
20200106,경부선,수원,39128,42215
20200106,경부선,신길,10529,8928
20200106,경부선,신도림,4210,4294
20200106,경부선,안양,24852,25124
20200106,경부선,영등포,46896,48545
20200106,경부선,오산,9646,9802
20200106,경부선,오산대,3040,2594
20200106,경부선,용산,38773,39991
20200106,경부선,의왕,10027,9756
20200106,경부선,지제,2652,2326
20200106,경부선,직산,822,798
20200106,경부선,진위,1633,1486
20200106,경부선,천안,5607,5680
20200106,경부선,평택,12352,11973
20200106,경부선,화서,8569,8143
20200106,경원선,가능,7271,6959
20200106,경원선,광운대,9609,9166
20200106,경원선,녹양,5259,4911
20200106,경원선,녹천,5339,4396
20200106,경원선,덕계,2600,2242
20200106,경원선,덕정,6292,6090
20200106,경원선,도봉,6603,6141
20200106,경원선,도봉산,7191,4317
20200106,경원선,동두천,2363,2674
20200106,경원선,동두천중앙,3778,3570
20200106,경원선,망월사,8098,8264
20200106,경원선,방학,10739,10304
20200106,경원선,보산,1724,1431
20200106,경원선,서빙고,2148,1963
20200106,경원선,석계,9957,11433
20200106,경원선,소요산,2885,2188
