사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201505,경의중앙선,일산,29798,107531,76059,38183,81999,5756,1217,22097,81775,242362,188849
201505,경의중앙선,중랑,12853,79568,54396,24007,57820,6146,474,15268,49726,164364,117449
201505,경의중앙선,탄현,21035,93328,59941,33419,72718,5318,591,20873,74979,210113,156546
201505,경의중앙선,파주,11982,25213,20065,16575,6307,652,4,4458,6254,38931,38305
201505,경의중앙선,팔당,4600,19039,33734,13661,5149,227,143,4530,2274,27907,40751
201505,경의중앙선,풍산,12205,54491,39525,20097,35187,2139,411,13938,38424,112566,90565
201505,경의중앙선,행신,18106,81957,52352,29238,65594,2700,959,19924,62860,185176,134277
201505,경의중앙선,홍대입구,7799,9715,27422,10995,16342,518,75,16907,10386,30385,45682
201505,경의중앙선,화전,16825,37036,49180,26822,11148,508,350,16834,11366,62632,77721
201505,경의중앙선,회기,131846,387973,360281,208756,237179,14953,3665,168177,229162,753965,724954
201506,경의중앙선,가좌,13382,32385,30270,16470,21249,1842,232,8237,14735,67557,58619
201506,경의중앙선,강매,3711,19483,11193,5661,17740,1344,272,2256,19564,55406,34740
201506,경의중앙선,검암,0,1,0,0,0,0,0,2,0,4,0
201506,경의중앙선,계양,0,3,0,1,0,0,0,0,0,4,0
201506,경의중앙선,곡산,4370,5188,5066,4721,3466,199,340,1843,2486,10780,12262
201506,경의중앙선,공덕,16703,13337,16094,13156,10605,367,122,8674,8486,31079,41405
201506,경의중앙선,구리,41059,133953,113064,58208,120404,9283,1791,39372,102116,303725,258030
201506,경의중앙선,국수,6221,11022,10150,7997,4143,458,28,1657,4939,18688,21338
201506,경의중앙선,금릉,16455,43643,34328,22589,39400,3435,295,15678,33825,105078,84903
201506,경의중앙선,금촌,30935,71661,56623,37074,50314,3878,293,19218,43988,153168,131839
201506,경의중앙선,김포공항,0,0,0,1,0,0,0,0,0,0,0
201506,경의중앙선,능곡,9954,36719,27445,13795,29931,2397,366,8852,25801,88606,63566
201506,경의중앙선,덕소,15003,67026,51795,22521,55457,4934,1255,12855,53410,150546,121463
201506,경의중앙선,도농,31216,94947,53370,35614,65368,7692,1422,15234,68555,213156,154563
201506,경의중앙선,도심,10034,25562,16693,9288,17398,1623,508,4795,16311,63240,43546
201506,경의중앙선,디지털미디어시티,8192,21778,18847,12569,14905,938,177,9232,12594,46817,39810
201506,경의중앙선,망우,24055,84713,69346,34352,68217,8853,858,18456,51903,189636,146162
201506,경의중앙선,문산,28416,66678,54972,33082,39675,5017,16,13891,41533,133903,124937
201506,경의중앙선,백마,22063,59823,38526,25515,52755,3555,989,13616,49471,153572,111049
201506,경의중앙선,상봉,15590,56177,44988,23089,49310,7597,1023,16390,41634,135172,103235
201506,경의중앙선,서강대,14236,17327,23767,14616,9936,351,18,15415,7189,39423,45210
201506,경의중앙선,서울역,46602,18468,27735,37680,10282,806,15,17852,5102,44064,79454
201506,경의중앙선,수색,18588,17106,22001,18025,10720,1095,265,8307,7596,36947,48450
201506,경의중앙선,신원,1200,3590,3062,1869,1043,138,36,496,1012,5471,5310
201506,경의중앙선,신촌,13006,5629,9725,8217,4196,257,15,6565,1758,13968,24504
201506,경의중앙선,아신,3655,10373,9193,5016,4556,422,38,1994,5952,17952,18838
201506,경의중앙선,양수,8520,23189,24145,12545,11972,810,271,5078,10764,41367,43700
201506,경의중앙선,양원,26473,25592,16015,11174,12655,1940,316,5561,10202,48698,53006
201506,경의중앙선,양정,7332,8410,6873,8369,4192,429,529,1962,3176,16574,17910
201506,경의중앙선,양평,15895,43155,39648,20293,24662,1769,159,11735,21600,81724,77302
201506,경의중앙선,오빈,1160,4062,3385,1651,2324,203,9,512,2107,7338,6661
201506,경의중앙선,용문,11041,38043,44016,18487,13110,1456,11,4885,10984,56768,66052
201506,경의중앙선,운길산,5043,15464,22131,10613,5059,263,143,4811,3651,25753,30968
201506,경의중앙선,운정,17052,47584,30988,21428,43120,3919,259,9015,43228,126873,91527
201506,경의중앙선,원덕,1359,4708,4596,2231,2150,320,3,761,2116,8349,8074
201506,경의중앙선,월롱,27319,22501,22094,22784,9327,542,43,8760,13387,38062,62843
201506,경의중앙선,일산,32425,86260,61775,35690,78025,6016,1256,20404,75665,221369,171121
201506,경의중앙선,중랑,12886,64817,46355,22289,54987,6647,505,13104,46207,151231,105953
201506,경의중앙선,탄현,22535,73131,50309,31238,68664,5591,621,19727,69220,190721,142685
201506,경의중앙선,파주,9324,17133,13664,13053,5101,630,3,4350,4896,30292,27887
201506,경의중앙선,팔당,3405,11299,17425,7612,3630,271,167,3259,1842,18505,22839
201506,경의중앙선,풍산,12667,43122,32219,18318,32108,2261,429,12429,34533,99257,79848
201506,경의중앙선,행신,17790,63595,43533,25975,62263,2892,932,17241,56290,167636,118545
201506,경의중앙선,홍대입구,8292,7875,19103,9385,12327,410,47,14443,7333,25717,34775
201506,경의중앙선,화전,14819,30279,41304,20796,9332,685,424,15699,8737,54502,65284
201506,경의중앙선,회기,127251,309832,285744,170784,205345,13490,3596,134887,187458,645573,604049
201507,경의중앙선,가좌,13397,35858,33204,17824,22371,1772,220,8220,15559,71897,62380
201507,경의중앙선,강매,3515,21982,12233,6377,18776,1292,221,2482,21460,58548,37429
201507,경의중앙선,검암,0,0,0,0,0,0,0,1,0,2,0
201507,경의중앙선,계양,0,2,0,3,0,0,0,5,0,7,0
