사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202212,경부선,세마,24609,16070,33398,22011,18270,23695,5696,17466
202212,경부선,송탄,33018,19434,60843,40539,28393,39575,11942,35064
202212,경부선,수원,170314,151558,405995,531658,274008,322642,228369,164546
202212,경부선,신길,68668,49160,89318,62364,57983,54516,21078,42774
202212,경부선,신도림,23660,24166,37020,39265,29544,31478,15506,16428
202212,경부선,안양,194047,69927,268559,247351,111208,212911,71965,120543
202212,경부선,영등포,113609,207578,424531,639807,395357,313110,297914,123442
202212,경부선,오산,63203,56409,126309,97174,67432,83800,28657,53622
202212,경부선,오산대,29087,15917,39646,28621,20265,30884,9486,19171
202212,경부선,용산,58273,266916,424075,612253,402211,238666,294855,91016
202212,경부선,의왕,69592,67709,87087,62268,62752,64226,20146,46171
202212,경부선,직산,5269,8026,9527,7647,8131,5477,1990,4151
202212,경부선,진위,7227,20421,15410,11231,21357,7033,4121,5307
202212,경부선,천안,26219,21294,95868,88933,41529,48718,20260,26356
202212,경부선,평택,66087,50967,167940,164000,88135,104815,58209,62397
202212,경부선,평택지제,24152,36383,43837,31372,40883,26336,18560,20579
202212,경부선,화서,98300,22103,81711,56670,29731,85105,12611,54714
202211,경부선,가산디지털단지,40714,228473,107685,191574,235047,79380,68069,45869
202211,경부선,관악,83491,22880,83418,65855,31433,72527,13317,43672
202211,경부선,광명,24755,16256,32896,32397,27493,26104,14014,12198
202211,경부선,구로,98575,125040,173716,194061,144079,120886,53791,82571
202211,경부선,군포,49877,86428,58345,43818,72244,40902,19140,24249
202211,경부선,금정,233352,157224,269350,215769,177665,251097,77120,160302
202211,경부선,금천구청,112795,52524,124809,94225,56185,113590,21042,60145
202211,경부선,남영,37932,79845,92458,111586,87127,59620,44660,35005
202211,경부선,노량진,52021,31479,94030,87579,52579,92651,50093,43144
202211,경부선,당정,65735,30380,69414,52269,35385,55228,13263,39113
202211,경부선,대방,74316,87930,114868,110247,83253,86635,30430,54729
202211,경부선,독산,114100,169867,146333,145654,178215,112946,42886,73199
202211,경부선,두정,44022,36453,93517,103375,49590,59373,23079,43210
202211,경부선,명학,64146,95680,79563,74110,85030,52706,28047,34050
202211,경부선,병점,135042,69600,185571,148959,93146,143377,39473,101243
202211,경부선,서동탄,19653,4209,12360,8622,5386,13454,1780,9806
202211,경부선,서울역,32147,15923,112957,26933,56999,21737,47293,9953
202211,경부선,서정리,47358,50146,94320,73751,72592,57098,25787,44166
202211,경부선,석수,95356,36757,100645,67640,45337,83514,16184,51127
202211,경부선,성균관대,159734,45210,157218,129205,70751,156927,38866,97693
202211,경부선,성환,17831,37101,79347,79506,46257,24290,12457,21398
202211,경부선,세류,36203,10784,31478,24864,16562,29504,6454,20101
202211,경부선,세마,26979,17076,32080,22488,18490,24526,5552,16117
202211,경부선,송탄,36497,20292,57608,40500,27914,40426,11432,33229
202211,경부선,수원,189267,171627,402282,506080,271041,328159,208472,156648
202211,경부선,신길,71506,56583,89137,63438,62900,58272,21827,41008
202211,경부선,신도림,26761,26469,39662,42427,31457,36293,15244,16870
202211,경부선,안양,210142,84833,280769,276251,126594,227232,76131,117489
202211,경부선,영등포,122505,216097,390569,553762,364286,289073,248429,114443
202211,경부선,오산,70958,58206,125447,100605,70321,87593,27780,52884
202211,경부선,오산대,33249,18074,44149,37217,22809,32689,8814,18157
202211,경부선,용산,62640,276748,377727,534552,389951,218726,268045,82996
202211,경부선,의왕,74742,69498,87596,68090,65301,67413,18862,44135
202211,경부선,직산,5775,8221,9286,7792,8290,5677,2058,4364
202211,경부선,진위,8184,21773,15357,11437,22611,7419,4125,5424
202211,경부선,천안,29561,26244,103034,98602,50516,54050,20242,28255
202211,경부선,평택,75817,56566,169448,168682,90291,113545,55904,62369
202211,경부선,평택지제,25898,36707,41844,30970,38857,26993,18124,19795
202211,경부선,화서,108924,23800,82773,58457,29618,94282,12280,51971
202210,경부선,가산디지털단지,39430,207224,108386,187681,214045,77446,66929,48958
202210,경부선,관악,77932,22354,87460,68089,31861,68105,13647,45817
202210,경부선,광명,25098,16121,35573,35332,28304,25906,15375,12533
202210,경부선,구로,95654,113052,181413,196431,137072,115947,53138,86357
202210,경부선,군포,46807,78204,61483,44920,66282,40386,18980,25659
202210,경부선,금정,219366,146206,283547,220257,168936,240209,77586,166139
202210,경부선,금천구청,107335,50142,132980,97899,56064,111072,22244,65286
202210,경부선,남영,36414,77098,94590,110879,84704,58640,49149,35475
202210,경부선,노량진,50116,32875,102272,96685,56645,96181,62719,45888
202210,경부선,당정,61874,27463,73354,53222,33600,53582,13462,40786
202210,경부선,대방,71102,82731,117893,110616,78643,84718,40473,56244
202210,경부선,독산,108348,156113,150258,141505,164536,107638,42724,77744
202210,경부선,두정,43192,35080,95413,99710,48516,58721,22579,44844
202210,경부선,명학,60296,87703,81581,72858,77435,51036,27359,36192
202210,경부선,병점,129241,65716,193508,150508,90195,139621,39702,107326
202210,경부선,서동탄,18618,3898,13504,9043,5494,13380,1875,10334
202210,경부선,서울역,33678,16563,119641,30111,61796,21889,55973,10716
202210,경부선,서정리,46508,46210,100459,76580,68569,58332,24579,47281
202210,경부선,석수,90864,35297,105888,70563,45214,80896,16873,53429
202210,경부선,성균관대,151184,44638,163954,131062,69244,150297,39125,99610
202210,경부선,성환,17979,36494,78431,76104,43006,25708,14653,22595
202210,경부선,세류,33817,11354,34790,27768,17578,28869,7093,20968
202210,경부선,세마,26360,15862,34772,23536,18266,24647,5917,17242
202210,경부선,송탄,35663,19341,61719,43177,28453,41604,12562,35922
202210,경부선,수원,182369,171347,435136,555567,288976,324505,228476,168053
202210,경부선,신길,67518,52802,91830,63789,59687,57807,29343,42930
202210,경부선,신도림,25784,24732,41549,43587,30251,34770,15705,18527
202210,경부선,안양,196982,85137,297057,283743,126724,220833,78773,122061
202210,경부선,영등포,116575,209162,419434,597439,368601,285431,258733,122218
202210,경부선,오산,69595,56871,135477,106709,70693,87506,30195,56504
202210,경부선,오산대,31341,17272,47548,39854,23013,31998,9218,19238
202210,경부선,용산,64379,277872,413440,590403,388964,234893,303968,90413
202210,경부선,의왕,70952,63898,90616,70620,62684,66326,20043,45882
202210,경부선,직산,5712,7719,9984,8436,8013,5740,2039,4685
202210,경부선,진위,8039,20879,16651,12471,21067,7630,4115,5594
202210,경부선,천안,30043,26235,107197,103518,50103,54569,21738,30569
202210,경부선,평택,75565,55158,181524,178412,92444,114217,58804,67254
202210,경부선,평택지제,25384,34257,44134,32658,36999,26420,18053,21053
202210,경부선,화서,100946,23514,88210,61326,30259,89850,13195,53294
202209,경부선,가산디지털단지,38794,215371,104319,175369,213655,74157,63820,44071
202209,경부선,관악,75915,21976,78237,60851,30090,66393,12994,42074
202209,경부선,광명,25236,15768,32145,31168,27085,24980,13348,11754
202209,경부선,구로,94134,114159,166536,179188,133657,109580,50283,82149
202209,경부선,군포,46720,78651,57051,42407,64987,38238,18825,24461
202209,경부선,금정,214327,145321,258334,204105,165023,229301,72833,155172
202209,경부선,금천구청,107380,49644,117781,89438,54706,106375,20963,59943
202209,경부선,남영,36561,80905,88459,105771,83560,54771,42452,33390
202209,경부선,노량진,49610,32499,90428,81203,50690,79687,46438,40872
202209,경부선,당정,61520,28150,67287,51493,33903,51514,12920,38862
202209,경부선,대방,70534,85151,109066,99637,77377,78854,28303,52499
202209,경부선,독산,108372,159033,139571,137897,166559,104662,40632,71205
202209,경부선,두정,41590,37996,91497,98335,49541,56471,23848,41500
202209,경부선,명학,60629,88295,75318,69331,78327,49538,25777,33265
202209,경부선,병점,126660,66127,177996,141091,90148,133097,37784,100567
