사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,8호선,복정,9580,7792,9580,7792
202201,8호선,산성,5206,5072,5206,5072
202201,8호선,석촌,8178,9275,8178,9275
202201,8호선,송파,7393,7730,7393,7730
202201,8호선,수진,5363,4869,5363,4869
202201,8호선,신흥,4296,4583,4296,4583
202201,8호선,암사,18799,16896,18799,16896
202201,8호선,잠실,14551,17040,14551,17040
202201,8호선,장지,17149,16539,17149,16539
202201,8호선,천호,14997,17735,14997,17735
202201,8호선,가락시장,5472,5521,5472,5521
202201,8호선,강동구청,5902,5996,5902,5996
202201,8호선,남위례,2519,2715,2519,2715
202201,8호선,남한산성입구,8714,7830,8714,7830
202201,8호선,단대오거리,7284,6924,7284,6924
202201,8호선,모란,3439,3017,3439,3017
202201,8호선,몽촌토성,3858,3819,3858,3819
202201,8호선,문정,8426,8599,8426,8599
202201,8호선,복정,5907,4987,5907,4987
202201,8호선,산성,3791,3893,3791,3893
202201,8호선,석촌,5846,7047,5846,7047
202201,8호선,송파,4847,4877,4847,4877
202201,8호선,수진,3988,3606,3988,3606
202201,8호선,신흥,3292,3509,3292,3509
202201,8호선,암사,11830,10864,11830,10864
202201,8호선,잠실,12444,14527,12444,14527
202201,8호선,장지,11519,10824,11519,10824
202201,8호선,천호,11512,13528,11512,13528
202201,8호선,가락시장,2964,3801,2964,3801
202201,8호선,강동구청,4295,4475,4295,4475
202201,8호선,남위례,1778,1967,1778,1967
202201,8호선,남한산성입구,6208,5874,6208,5874
202201,8호선,단대오거리,5053,5072,5053,5072
202201,8호선,모란,2510,2093,2510,2093
202201,8호선,몽촌토성,2944,3028,2944,3028
202201,8호선,문정,5142,5456,5142,5456
202201,8호선,복정,4024,3805,4024,3805
202201,8호선,산성,2747,2745,2747,2745
202201,8호선,석촌,3983,5007,3983,5007
202201,8호선,송파,3271,3472,3271,3472
202201,8호선,수진,2943,2709,2943,2709
202201,8호선,신흥,2476,2696,2476,2696
202201,8호선,암사,8236,8070,8236,8070
202201,8호선,잠실,10113,11270,10113,11270
202201,8호선,장지,8662,8746,8662,8746
202201,8호선,천호,8652,9819,8652,9819
202201,8호선,가락시장,7680,8466,7680,8466
202201,8호선,강동구청,10469,11112,10469,11112
202201,8호선,남위례,3536,3892,3536,3892
202201,8호선,남한산성입구,13056,12243,13056,12243
202201,8호선,단대오거리,10479,10351,10479,10351
202201,8호선,모란,4341,3281,4341,3281
202201,8호선,몽촌토성,5948,6120,5948,6120
202201,8호선,문정,23316,24059,23316,24059
202201,8호선,복정,9027,7820,9027,7820
202201,8호선,산성,5045,5247,5045,5247
202201,8호선,석촌,7702,8674,7702,8674
202201,8호선,송파,7288,7672,7288,7672
202201,8호선,수진,5229,4874,5229,4874
202201,8호선,신흥,4122,4494,4122,4494
202201,8호선,암사,18597,16946,18597,16946
202201,8호선,잠실,13693,15624,13693,15624
202201,8호선,장지,16645,16408,16645,16408
202201,8호선,천호,14351,16330,14351,16330
202201,8호선,가락시장,7818,8589,7818,8589
202201,8호선,강동구청,10708,11187,10708,11187
202201,8호선,남위례,3762,4089,3762,4089
