사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,주중주말
202101,경의선,백마,2035,1927,3962,주말
202101,경의선,곡산,200,203,403,주말
202101,경의선,능곡,1423,1400,2823,주말
202101,경의선,행신,2479,2467,4946,주말
202101,경의선,강매,997,898,1895,주말
202101,경의선,화전,449,454,903,주말
202101,경의선,수색,642,673,1315,주말
202101,경의선,디지털미디어시티,885,803,1688,주말
202101,경의선,가좌,1938,1928,3866,주말
202101,경의선,홍대입구,708,793,1501,주말
202101,경의선,서강대,859,822,1681,주말
202101,경의선,공덕,1140,925,2065,주말
202101,경의선,효창공원앞,935,1040,1975,주말
202101,경의선,신촌,163,150,313,주말
202101,경의선,서울,477,514,991,주말
202101,경원선,소요산,2090,1770,3860,주말
202101,경원선,동두천,762,937,1699,주말
202101,경원선,보산,934,900,1834,주말
202101,경원선,동두천중앙,1499,1503,3002,주말
202101,경원선,지행,2975,2905,5880,주말
202101,경원선,덕정,2270,2205,4475,주말
202101,경원선,덕계,1132,1034,2166,주말
202101,경원선,양주,3320,3111,6431,주말
202101,경원선,녹양,1952,1956,3908,주말
202101,경원선,가능,3054,2896,5950,주말
202101,경원선,의정부,9693,10142,19835,주말
202101,경원선,회룡,5137,5195,10332,주말
202101,경원선,망월사,3158,3235,6393,주말
202101,경원선,도봉산,5859,3861,9720,주말
202101,경원선,도봉,2726,2563,5289,주말
202101,경원선,방학,4326,4290,8616,주말
202101,경원선,녹천,2035,1729,3764,주말
202101,경원선,월계,2761,2708,5469,주말
202101,경원선,광운대,3172,3125,6297,주말
202101,경원선,석계,3556,3848,7404,주말
202101,경원선,신이문,3548,3314,6862,주말
202101,경원선,외대앞,3161,3161,6322,주말
202101,경원선,청량리,7630,7828,15458,주말
202101,경원선,왕십리,5792,7150,12942,주말
202101,경원선,응봉,703,638,1341,주말
202101,경원선,옥수,29,12,41,주말
202101,경원선,한남,1500,1417,2917,주말
202101,경원선,서빙고,707,611,1318,주말
202101,경원선,이촌,1571,1210,2781,주말
202101,경부선,광명,1109,840,1949,주말
202101,경부선,서동탄,491,480,971,주말
202101,경부선,당정,2110,2008,4118,주말
202101,경부선,천안,2932,2870,5802,주말
202101,경부선,두정,2363,2571,4934,주말
202101,경부선,직산,357,310,667,주말
202101,경부선,성환,1498,1565,3063,주말
202101,경부선,평택,6604,6489,13093,주말
202101,경부선,지제,1110,966,2076,주말
202101,경부선,서정리,2572,2788,5360,주말
202101,경부선,송탄,2187,2166,4353,주말
202101,경부선,진위,531,448,979,주말
202101,경부선,오산,4655,4751,9406,주말
202101,경부선,오산대,1253,1121,2374,주말
202101,경부선,세마,1006,966,1972,주말
202101,경부선,병점,5402,5754,11156,주말
202101,경부선,세류,1187,1246,2433,주말
202101,경부선,독산,4358,4480,8838,주말
202101,경부선,수원,18845,19061,37906,주말
202101,경부선,화서,2418,2374,4792,주말
202101,경부선,성균관대,4958,5081,10039,주말
202101,경부선,의왕,3203,3144,6347,주말
202101,경부선,군포,2314,2305,4619,주말
202101,경부선,금정,9649,9671,19320,주말
202101,경부선,명학,2458,2389,4847,주말
202101,경부선,안양,9055,9027,18082,주말
202101,경부선,관악,3139,2932,6071,주말
202101,경부선,석수,3594,3550,7144,주말
202101,경부선,금천구청,4336,4334,8670,주말
202101,경부선,가산디지털단지,2882,4278,7160,주말
202101,경부선,구로,6720,6934,13654,주말
202101,경부선,신길,3240,2848,6088,주말
202101,경부선,신도림,1292,1375,2667,주말
202101,경부선,영등포,21565,21970,43535,주말
202101,경부선,대방,3911,3934,7845,주말
202101,경부선,노량진,4195,4115,8310,주말
202101,경부선,용산,15207,13779,28986,주말
202101,경부선,남영,2809,3091,5900,주말
202101,경부선,서울,2092,513,2605,주말
202101,경강선,여주,891,853,1744,주말
202101,경강선,세종대왕릉,135,136,271,주말
202101,경강선,부발,766,769,1535,주말
202101,경강선,이천,1235,1239,2474,주말
202101,경강선,신둔도예촌,458,441,899,주말
202101,경강선,곤지암,873,831,1704,주말
202101,경강선,초월,1065,1021,2086,주말
202101,경강선,경기광주,2452,2465,4917,주말
202101,경강선,삼동,798,747,1545,주말
202101,경강선,이매,385,291,676,주말
202101,경강선,판교,1587,1563,3150,주말
202101,9호선2~3단계,중앙보훈병원,2199,1996,4195,주말
202101,9호선2~3단계,둔촌오륜,278,274,552,주말
202101,9호선2~3단계,올림픽공원,1915,1910,3825,주말
202101,9호선2~3단계,한성백제,857,777,1634,주말
202101,9호선2~3단계,송파나루,1811,1899,3710,주말
202101,9호선2~3단계,석촌,2824,2523,5347,주말
202101,9호선2~3단계,석촌고분,2227,2271,4498,주말
202101,9호선2~3단계,삼전,2702,2621,5323,주말
202101,9호선2~3단계,종합운동장,1446,1400,2846,주말
202101,9호선2~3단계,봉은사,4492,4367,8859,주말
202101,9호선2~3단계,삼성중앙,1575,1595,3170,주말
202101,9호선2~3단계,선정릉,2062,2321,4383,주말
202101,9호선2~3단계,언주,2723,2665,5388,주말
202101,9호선,신논현,12272,12017,24289,주말
202101,9호선,사평,926,893,1819,주말
202101,9호선,고속터미널,5633,6792,12425,주말
202101,9호선,신반포,1006,935,1941,주말
202101,9호선,구반포,866,957,1823,주말
202101,9호선,동작,655,494,1149,주말
202101,9호선,흑석,2712,2935,5647,주말
202101,9호선,노량진,9732,10192,19924,주말
202101,9호선,샛강,1307,1368,2675,주말
202101,9호선,여의도,3503,3367,6870,주말
202101,9호선,국회의사당,1723,1754,3477,주말
