사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,5호선,영등포구청,1465,1439
202001,5호선,영등포시장,6136,6356
202001,5호선,오금,1712,1667
202001,5호선,오목교,13732,14734
202001,5호선,올림픽공원,2528,2525
202001,5호선,왕십리,2893,3492
202001,5호선,우장산,8056,8312
202001,5호선,을지로4가,1718,1942
202001,5호선,장한평,9540,9593
202001,5호선,종로3가,11672,10162
202001,5호선,천호,14707,14520
202001,5호선,청구,2180,1833
202001,5호선,충정로,1500,1435
202001,5호선,행당,4549,4154
202001,5호선,화곡,16516,15800
202001,6호선,고려대,4773,4646
202001,6호선,공덕,7886,7192
202001,6호선,광흥창,5147,4942
202001,6호선,구산,4467,3418
202001,6호선,녹사평,4380,4409
202001,6호선,대흥,4371,4577
202001,6호선,독바위,1710,2230
202001,6호선,돌곶이,4954,4848
202001,6호선,동묘앞,7321,7089
202001,6호선,디지털미디어시티,5944,6264
202001,6호선,마포구청,8017,7188
202001,6호선,망원,9902,10510
202001,6호선,버티고개,1246,1290
202001,6호선,보문,4525,4360
202001,6호선,봉화산,5030,4850
202001,6호선,불광,3754,3276
202001,6호선,삼각지,4019,2970
202001,6호선,상수,7377,8375
202001,6호선,상월곡,3817,3502
202001,6호선,새절,7919,7795
202001,6호선,석계,7738,7725
202001,6호선,신당,4665,5206
202001,6호선,안암,5873,6259
202001,6호선,약수,1821,1909
202001,6호선,역촌,2429,2759
202001,6호선,월곡,7753,7412
202001,6호선,월드컵경기장,4050,4248
202001,6호선,응암,10931,10761
202001,6호선,이태원,15430,13025
202001,6호선,증산,6395,6341
202001,6호선,창신,1808,1646
202001,6호선,청구,1825,2010
202001,6호선,태릉입구,3272,3881
202001,6호선,한강진,6998,7550
202001,6호선,합정,10574,9649
202001,6호선,화랑대,6231,5419
202001,6호선,효창공원앞,3716,3330
202001,7호선,가산디지털단지,12713,11763
202001,7호선,강남구청,6065,6442
202001,7호선,건대입구,10431,10958
202001,7호선,고속터미널,16836,11758
202001,7호선,공릉,7314,7521
