사용일자,노선명,역명,승차총승객수,하차총승객수
20200125,1호선,종로3가,12256,11879
20200125,1호선,종로5가,6833,6645
20200125,1호선,동대문,12447,14923
20200125,1호선,신설동,5721,5365
20200125,1호선,제기동,5654,5548
20200125,1호선,청량리(서울시립대입구),11870,12012
20200125,1호선,동묘앞,5905,6505
20200126,1호선,종각,17929,16042
20200126,1호선,종로3가,18802,17174
20200126,1호선,종로5가,10166,10070
20200126,1호선,동대문,14340,14521
20200126,1호선,신설동,7058,7121
20200126,1호선,제기동,7967,8300
20200126,1호선,청량리(서울시립대입구),14219,14301
20200126,1호선,동묘앞,10612,11478
20200126,1호선,서울역,40076,28841
20200126,1호선,시청,10949,10753
20200127,1호선,시청,9937,9034
20200127,1호선,종각,17928,15687
20200127,1호선,종로3가,19884,18898
20200127,1호선,종로5가,11658,11590
20200127,1호선,동대문,8972,9545
20200127,1호선,신설동,6855,7338
20200127,1호선,제기동,10692,11135
20200127,1호선,청량리(서울시립대입구),14681,14934
20200127,1호선,동묘앞,7867,8487
20200127,1호선,서울역,41239,31184
20200128,1호선,시청,25219,25612
20200128,1호선,종각,42924,42121
20200128,1호선,종로3가,32153,30514
20200128,1호선,종로5가,25332,25474
20200128,1호선,동대문,10994,12288
20200128,1호선,신설동,15044,15002
20200128,1호선,제기동,17874,18278
20200128,1호선,청량리(서울시립대입구),21816,21695
20200128,1호선,동묘앞,8537,8969
20200128,1호선,서울역,55784,46389
20200129,1호선,시청,27966,28269
20200129,1호선,종각,46825,45634
20200129,1호선,종로3가,33412,31775
20200129,1호선,종로5가,27703,27608
20200129,1호선,동대문,13132,13691
20200129,1호선,신설동,16299,15985
20200129,1호선,제기동,18541,18830
20200129,1호선,청량리(서울시립대입구),22482,22852
20200129,1호선,동묘앞,8708,9273
20200129,1호선,서울역,56226,50057
20200130,1호선,동묘앞,8752,9278
20200130,1호선,청량리(서울시립대입구),22802,23015
20200130,1호선,제기동,19193,19619
20200130,1호선,신설동,16550,16213
20200130,1호선,동대문,12990,13435
20200130,1호선,종로5가,27302,27269
20200130,1호선,종로3가,33718,31632
20200130,1호선,종각,46979,45632
20200130,1호선,시청,27164,27820
20200130,1호선,서울역,55339,50836
20200131,1호선,서울역,58277,54060
20200131,1호선,시청,27160,27510
20200131,1호선,종각,47725,47091
20200131,1호선,종로3가,33192,31611
20200131,1호선,종로5가,26700,26910
20200131,1호선,동대문,13235,13429
20200131,1호선,신설동,16736,16598
20200131,1호선,제기동,18648,18745
20200131,1호선,청량리(서울시립대입구),22820,23182
20200131,1호선,동묘앞,8721,9025
20200201,1호선,시청,13966,14315
20200201,1호선,종각,24014,23628
20200201,1호선,종로3가,25613,24969
20200201,1호선,종로5가,19922,19765
20200201,1호선,동대문,11346,11210
20200201,1호선,신설동,10517,10085
20200201,1호선,제기동,14752,14975
20200201,1호선,청량리(서울시립대입구),18700,19210
20200201,1호선,동묘앞,10003,10716
20200201,1호선,서울역,34375,33070
20200202,1호선,서울역,27746,25860
20200202,1호선,시청,9085,8150
20200202,1호선,종각,14933,13299
20200202,1호선,종로3가,14895,13381
20200202,1호선,종로5가,9349,9429
20200202,1호선,동대문,8774,10184
20200202,1호선,신설동,7845,7587
20200202,1호선,제기동,9257,9457
20200202,1호선,청량리(서울시립대입구),13367,13360
20200202,1호선,동묘앞,9633,9780
20200203,1호선,서울역,48307,46039
20200203,1호선,시청,25019,25472
20200203,1호선,종각,43754,42847
20200203,1호선,종로3가,29601,28159
20200203,1호선,종로5가,24251,24394
20200203,1호선,동대문,11981,12001
20200203,1호선,신설동,15527,15344
20200203,1호선,제기동,17710,18167
