,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
179,2020-01-13,공항철도,인천공항1터미널,15781,17767,33548
180,2020-01-13,공항철도,인천공항2터미널,5977,5515,11492
181,2020-01-13,공항철도,영종,3117,3206,6323
182,2020-01-14,공항철도,영종,3074,3265,6339
183,2020-01-14,공항철도,인천공항2터미널,5445,4937,10382
184,2020-01-14,공항철도,인천공항1터미널,15434,16163,31597
185,2020-01-14,공항철도,공항화물청사,2933,3184,6117
186,2020-01-14,공항철도,운서,7957,8159,16116
187,2020-01-14,공항철도,청라국제도시,7726,7198,14924
188,2020-01-14,공항철도,검암,9056,8562,17618
189,2020-01-14,공항철도,계양,11175,10077,21252
190,2020-01-14,공항철도,김포공항,11828,7276,19104
191,2020-01-14,공항철도,마곡나루,8125,7321,15446
192,2020-01-14,공항철도,디지털미디어시티,15808,14176,29984
193,2020-01-14,공항철도,홍대입구,12149,12241,24390
194,2020-01-14,공항철도,공덕,2730,3527,6257
195,2020-01-14,공항철도,서울역,13425,11169,24594
196,2020-01-15,공항철도,서울역,13053,11153,24206
197,2020-01-15,공항철도,공덕,2789,3729,6518
198,2020-01-15,공항철도,홍대입구,12349,12527,24876
199,2020-01-15,공항철도,디지털미디어시티,15871,14250,30121
200,2020-01-15,공항철도,마곡나루,8246,7227,15473
201,2020-01-15,공항철도,김포공항,12056,7379,19435
202,2020-01-15,공항철도,계양,11107,10061,21168
203,2020-01-15,공항철도,검암,9078,8441,17519
204,2020-01-15,공항철도,청라국제도시,7830,7245,15075
205,2020-01-15,공항철도,운서,7916,8227,16143
206,2020-01-15,공항철도,공항화물청사,2959,3311,6270
207,2020-01-15,공항철도,인천공항1터미널,15934,15656,31590
208,2020-01-15,공항철도,인천공항2터미널,5992,5020,11012
209,2020-01-15,공항철도,영종,3119,3164,6283
210,2020-01-16,공항철도,영종,3120,3340,6460
211,2020-01-16,공항철도,인천공항2터미널,5673,4776,10449
212,2020-01-16,공항철도,인천공항1터미널,16372,15703,32075
213,2020-01-16,공항철도,공항화물청사,2964,3289,6253
214,2020-01-16,공항철도,운서,8037,8404,16441
215,2020-01-16,공항철도,청라국제도시,7817,7205,15022
216,2020-01-16,공항철도,검암,9201,8655,17856
217,2020-01-16,공항철도,계양,11099,10089,21188
218,2020-01-16,공항철도,김포공항,12277,7240,19517
219,2020-01-16,공항철도,마곡나루,8186,7408,15594
220,2020-01-16,공항철도,디지털미디어시티,16690,14936,31626
221,2020-01-16,공항철도,홍대입구,12601,12765,25366
222,2020-01-16,공항철도,공덕,2813,3668,6481
223,2020-01-16,공항철도,서울역,13258,11383,24641
224,2020-01-17,공항철도,서울역,15865,13799,29664
225,2020-01-17,공항철도,공덕,3002,3942,6944
226,2020-01-17,공항철도,홍대입구,13939,14920,28859
227,2020-01-17,공항철도,디지털미디어시티,16159,14309,30468
228,2020-01-17,공항철도,마곡나루,8966,7488,16454
229,2020-01-17,공항철도,김포공항,13279,7237,20516
230,2020-01-17,공항철도,계양,11535,10212,21747
231,2020-01-17,공항철도,검암,9548,8807,18355
232,2020-01-17,공항철도,청라국제도시,8172,7377,15549
233,2020-01-17,공항철도,운서,8309,8569,16878
234,2020-01-17,공항철도,공항화물청사,2762,3157,5919
235,2020-01-17,공항철도,인천공항1터미널,18585,16648,35233
236,2020-01-17,공항철도,인천공항2터미널,6059,5023,11082
237,2020-01-17,공항철도,영종,3353,3449,6802
238,2020-01-18,공항철도,서울역,14154,13229,27383
239,2020-01-18,공항철도,공덕,2179,3491,5670
240,2020-01-18,공항철도,홍대입구,15919,15573,31492
241,2020-01-18,공항철도,디지털미디어시티,7669,7038,14707
242,2020-01-18,공항철도,마곡나루,2899,3020,5919
243,2020-01-18,공항철도,김포공항,10954,5730,16684
244,2020-01-18,공항철도,계양,8496,7782,16278
245,2020-01-18,공항철도,검암,6383,6047,12430
246,2020-01-18,공항철도,청라국제도시,5156,4914,10070
247,2020-01-18,공항철도,운서,7432,7538,14970
248,2020-01-18,공항철도,공항화물청사,1673,1753,3426
249,2020-01-18,공항철도,인천공항1터미널,16832,15949,32781
250,2020-01-18,공항철도,인천공항2터미널,5819,4933,10752
251,2020-01-18,공항철도,영종,3007,3031,6038
252,2020-01-19,공항철도,서울역,13943,11842,25785
253,2020-01-19,공항철도,공덕,1629,2135,3764
254,2020-01-19,공항철도,홍대입구,12513,10859,23372
255,2020-01-19,공항철도,디지털미디어시티,4222,4149,8371
256,2020-01-19,공항철도,마곡나루,1820,2155,3975
257,2020-01-19,공항철도,김포공항,8928,5296,14224
258,2020-01-19,공항철도,계양,5519,5582,11101
259,2020-01-19,공항철도,검암,4431,4599,9030
260,2020-01-19,공항철도,청라국제도시,3538,3433,6971
261,2020-01-19,공항철도,운서,6016,6487,12503
262,2020-01-19,공항철도,공항화물청사,1305,1464,2769
263,2020-01-19,공항철도,인천공항1터미널,15528,17108,32636
264,2020-01-19,공항철도,인천공항2터미널,5471,4965,10436
265,2020-01-19,공항철도,영종,2192,2350,4542
266,2020-01-20,공항철도,영종,3131,3181,6312
267,2020-01-20,공항철도,인천공항2터미널,5677,4956,10633
268,2020-01-20,공항철도,인천공항1터미널,16296,17255,33551
269,2020-01-20,공항철도,공항화물청사,2767,3079,5846
270,2020-01-20,공항철도,운서,7931,8385,16316
271,2020-01-20,공항철도,청라국제도시,7690,7228,14918
272,2020-01-20,공항철도,검암,8839,8535,17374
273,2020-01-20,공항철도,계양,11049,9978,21027
274,2020-01-20,공항철도,김포공항,11746,7077,18823
275,2020-01-20,공항철도,마곡나루,8066,7403,15469
276,2020-01-20,공항철도,디지털미디어시티,15666,14036,29702
277,2020-01-20,공항철도,홍대입구,12131,11678,23809
278,2020-01-20,공항철도,공덕,2915,3600,6515
279,2020-01-20,공항철도,서울역,12857,11964,24821
280,2020-01-21,공항철도,서울역,12790,11515,24305
281,2020-01-21,공항철도,공덕,2918,3623,6541
282,2020-01-21,공항철도,홍대입구,12303,11844,24147
283,2020-01-21,공항철도,디지털미디어시티,16161,14655,30816
284,2020-01-21,공항철도,마곡나루,8260,7574,15834
285,2020-01-21,공항철도,김포공항,11598,7316,18914
286,2020-01-21,공항철도,계양,11080,10054,21134
287,2020-01-21,공항철도,검암,9031,8502,17533
288,2020-01-21,공항철도,청라국제도시,7717,7186,14903
289,2020-01-21,공항철도,운서,7840,8189,16029
290,2020-01-21,공항철도,공항화물청사,2728,3105,5833
291,2020-01-21,공항철도,인천공항1터미널,15635,15958,31593
292,2020-01-21,공항철도,인천공항2터미널,5335,4652,9987
293,2020-01-21,공항철도,영종,3063,3143,6206
294,2020-01-22,공항철도,서울역,13354,12845,26199
295,2020-01-22,공항철도,공덕,2857,3675,6532
296,2020-01-22,공항철도,홍대입구,12724,12046,24770
297,2020-01-22,공항철도,디지털미디어시티,16332,14372,30704
298,2020-01-22,공항철도,마곡나루,8515,7432,15947
299,2020-01-22,공항철도,김포공항,12289,7307,19596
300,2020-01-22,공항철도,계양,11155,10035,21190
