,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
284,20200106,7호선,숭실대입구(살피재),16104,16042,32146
285,20200106,7호선,상도,12412,12104,24516
286,20200106,7호선,장승배기,12012,11705,23717
287,20200106,7호선,신대방삼거리,18972,18414,37386
288,20200106,7호선,보라매,10917,10907,21824
289,20200106,7호선,신풍,12828,12309,25137
290,20200106,7호선,대림(구로구청),10241,10139,20380
291,20200106,7호선,남구로,18920,20307,39227
292,20200106,7호선,가산디지털단지,51719,51373,103092
293,20200106,7호선,철산,25268,26131,51399
294,20200106,7호선,광명사거리,27363,26887,54250
295,20200106,7호선,천왕,11183,10242,21425
296,20200106,7호선,온수(성공회대입구),11560,10953,22513
297,20200106,7호선,까치울,7936,7555,15491
298,20200106,7호선,부천종합운동장,5133,4274,9407
299,20200106,7호선,춘의,10557,10340,20897
300,20200106,7호선,신중동,16572,16282,32854
301,20200106,7호선,부천시청,13823,13801,27624
302,20200106,7호선,상동,15455,15703,31158
303,20200106,7호선,삼산체육관,5618,4997,10615
304,20200106,7호선,굴포천,10162,10736,20898
305,20200106,7호선,부평구청,13633,10887,24520
306,20200107,7호선,장암,2600,795,3395
307,20200107,7호선,도봉산,9302,10555,19857
308,20200107,7호선,수락산,13392,13558,26950
309,20200107,7호선,마들,12980,12489,25469
310,20200107,7호선,노원,22676,23741,46417
311,20200107,7호선,중계,17032,15845,32877
312,20200107,7호선,하계,20850,19846,40696
313,20200107,7호선,공릉(서울과학기술대),13323,13215,26538
314,20200107,7호선,태릉입구,9148,8620,17768
315,20200107,7호선,먹골,11495,11389,22884
316,20200107,7호선,중화,12585,12207,24792
317,20200107,7호선,상봉(시외버스터미널),18158,17058,35216
318,20200107,7호선,면목,16613,16193,32806
319,20200107,7호선,사가정,16851,17030,33881
320,20200107,7호선,용마산,6717,6270,12987
321,20200107,7호선,중곡,11059,10360,21419
322,20200107,7호선,군자(능동),16012,12767,28779
323,20200107,7호선,어린이대공원(세종대),13887,13372,27259
324,20200107,7호선,건대입구,16029,17043,33072
325,20200107,7호선,뚝섬유원지,7100,6857,13957
326,20200107,7호선,청담,22985,26050,49035
327,20200107,7호선,강남구청,18071,19978,38049
328,20200107,7호선,학동,26813,28653,55466
329,20200107,7호선,논현,22819,25013,47832
330,20200107,7호선,반포,7005,6729,13734
331,20200107,7호선,고속터미널,20111,17107,37218
332,20200107,7호선,내방,16261,16628,32889
333,20200107,7호선,이수,18186,17931,36117
334,20200107,7호선,남성,12815,11895,24710
335,20200107,7호선,숭실대입구(살피재),15868,16107,31975
336,20200107,7호선,상도,12213,11919,24132
337,20200107,7호선,장승배기,11773,11590,23363
338,20200107,7호선,신대방삼거리,18575,17934,36509
339,20200107,7호선,보라매,10549,10718,21267
340,20200107,7호선,신풍,12291,11794,24085
341,20200107,7호선,대림(구로구청),9773,9920,19693
342,20200107,7호선,남구로,18526,19496,38022
343,20200107,7호선,가산디지털단지,51290,51012,102302
344,20200107,7호선,철산,24983,25922,50905
345,20200107,7호선,광명사거리,26176,25760,51936
346,20200107,7호선,천왕,10800,9780,20580
347,20200107,7호선,온수(성공회대입구),11213,10623,21836
348,20200107,7호선,까치울,7794,7264,15058
349,20200107,7호선,부천종합운동장,4890,4151,9041
350,20200107,7호선,춘의,10335,10235,20570
351,20200107,7호선,신중동,16338,16225,32563
352,20200107,7호선,부천시청,13627,13407,27034
353,20200107,7호선,상동,15175,15679,30854
354,20200107,7호선,삼산체육관,5696,5128,10824
355,20200107,7호선,굴포천,9900,10553,20453
356,20200107,7호선,부평구청,13180,10758,23938
357,20200108,7호선,뚝섬유원지,7647,7334,14981
358,20200108,7호선,장암,2658,812,3470
359,20200108,7호선,도봉산,9709,11122,20831
360,20200108,7호선,수락산,13961,13998,27959
361,20200108,7호선,마들,13567,12924,26491
362,20200108,7호선,노원,23419,24926,48345
363,20200108,7호선,중계,17814,16506,34320
364,20200108,7호선,하계,21342,20378,41720
365,20200108,7호선,공릉(서울과학기술대),13643,13624,27267
366,20200108,7호선,태릉입구,9335,8814,18149
367,20200108,7호선,먹골,11619,11367,22986
368,20200108,7호선,중화,12707,12361,25068
369,20200108,7호선,상봉(시외버스터미널),19083,18249,37332
370,20200108,7호선,면목,17141,16728,33869
