,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
218,20200105,2호선,삼성,31830,31633,63463
219,20200105,2호선,선릉,15439,13520,28959
220,20200105,2호선,역삼,13941,14846,28787
221,20200105,2호선,강남,52620,51683,104303
222,20200105,2호선,교대,13379,14819,28198
223,20200105,2호선,서초,15678,14749,30427
224,20200105,2호선,방배,8666,9059,17725
225,20200105,2호선,사당,26437,28988,55425
226,20200105,2호선,낙성대,17759,18341,36100
227,20200105,2호선,서울대입구,31948,32777,64725
228,20200105,2호선,봉천,14416,13872,28288
229,20200105,2호선,신림,45798,45068,90866
230,20200105,2호선,신대방,18559,17978,36537
231,20200105,2호선,구로디지털단지,31980,31694,63674
232,20200105,2호선,대림,21292,21602,42894
233,20200105,2호선,신도림,37315,37526,74841
234,20200105,2호선,문래,8454,8563,17017
235,20200105,2호선,영등포구청,9278,9467,18745
236,20200105,2호선,당산,10306,11193,21499
237,20200105,2호선,합정,23597,24079,47676
238,20200105,2호선,홍대입구,70489,70084,140573
239,20200105,2호선,신촌,31549,30672,62221
240,20200105,2호선,이대,10211,10841,21052
241,20200105,2호선,아현,5879,5932,11811
242,20200105,2호선,충정로,4646,4678,9324
243,20200105,2호선,용답,1916,1919,3835
244,20200105,2호선,신답,806,898,1704
245,20200105,2호선,신설동,4066,3845,7911
246,20200105,2호선,도림천,496,501,997
247,20200105,2호선,양천구청,3870,4076,7946
248,20200105,2호선,신정네거리,5642,5707,11349
249,20200105,2호선,용두,1267,1284,2551
250,20200106,2호선,시청,30576,29093,59669
251,20200106,2호선,을지로입구,56171,56874,113045
252,20200106,2호선,을지로3가,27132,26820,53952
253,20200106,2호선,을지로4가,15634,15179,30813
254,20200106,2호선,동대문역사문화공원,16842,19284,36126
255,20200106,2호선,신당,15536,16263,31799
256,20200106,2호선,상왕십리,16003,15544,31547
257,20200106,2호선,왕십리,19616,16235,35851
258,20200106,2호선,한양대,10065,10798,20863
259,20200106,2호선,뚝섬,21682,23225,44907
260,20200106,2호선,성수,36425,38817,75242
261,20200106,2호선,건대입구,42349,45455,87804
262,20200106,2호선,구의,27220,26736,53956
263,20200106,2호선,강변,43269,41583,84852
264,20200106,2호선,잠실나루,18425,18365,36790
265,20200106,2호선,잠실,85090,83547,168637
266,20200106,2호선,잠실새내,26034,25805,51839
267,20200106,2호선,종합운동장,8675,10637,19312
268,20200106,2호선,삼성,64505,65417,129922
269,20200106,2호선,선릉,69055,61369,130424
270,20200106,2호선,역삼,62638,68667,131305
271,20200106,2호선,강남,117522,118454,235976
272,20200106,2호선,교대,41450,47500,88950
273,20200106,2호선,서초,25838,25414,51252
274,20200106,2호선,방배,20893,21671,42564
275,20200106,2호선,사당,43383,48242,91625
276,20200106,2호선,낙성대,31248,30857,62105
277,20200106,2호선,서울대입구,56410,54788,111198
278,20200106,2호선,봉천,27731,25937,53668
279,20200106,2호선,신림,72858,71297,144155
280,20200106,2호선,신대방,30745,29434,60179
281,20200106,2호선,구로디지털단지,72750,72692,145442
282,20200106,2호선,대림,30341,31058,61399
283,20200106,2호선,신도림,61303,59841,121144
284,20200106,2호선,문래,24396,24678,49074
285,20200106,2호선,영등포구청,26545,26581,53126
286,20200106,2호선,당산,22038,25545,47583
287,20200106,2호선,합정,34051,35234,69285
288,20200106,2호선,홍대입구,71697,75177,146874
289,20200106,2호선,신촌,47260,48524,95784
