,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
160,2020-01-04,수인분당선,미금,13953,14560,28513
161,2020-01-04,수인분당선,오리,10007,8157,18164
162,2020-01-04,수인분당선,이매,5052,5114,10166
163,2020-01-04,수인분당선,보정,2145,1830,3975
164,2020-01-04,수인분당선,죽전,12227,13916,26143
165,2020-01-04,수인분당선,구성,3984,3893,7877
166,2020-01-04,수인분당선,신갈,3659,3562,7221
167,2020-01-04,수인분당선,기흥,8141,7719,15860
168,2020-01-04,수인분당선,상갈,4881,4498,9379
169,2020-01-04,수인분당선,청명,3312,3193,6505
170,2020-01-04,수인분당선,영통,8337,8130,16467
171,2020-01-04,수인분당선,망포,10754,9554,20308
172,2020-01-04,수인분당선,매탄권선,3722,3374,7096
173,2020-01-04,수인분당선,수원시청,12366,14853,27219
174,2020-01-04,수인분당선,매교,1774,1895,3669
175,2020-01-04,수인분당선,달월,43,38,81
176,2020-01-04,수인분당선,월곶,2128,2068,4196
177,2020-01-04,수인분당선,소래포구,4893,4857,9750
178,2020-01-04,수인분당선,인천논현,5151,5183,10334
179,2020-01-04,수인분당선,호구포,2575,2500,5075
180,2020-01-04,수인분당선,남동인더스파크,970,822,1792
181,2020-01-04,수인분당선,원인재,3887,3919,7806
182,2020-01-04,수인분당선,연수,4884,4917,9801
183,2020-01-04,수인분당선,송도,2404,2275,4679
184,2020-01-04,수인분당선,인하대,4111,3793,7904
185,2020-01-04,수인분당선,숭의,2877,2659,5536
186,2020-01-04,수인분당선,신포,1553,1730,3283
187,2020-01-04,수인분당선,인천,1238,2167,3405
188,2020-01-05,수인분당선,선릉,2974,4676,7650
189,2020-01-05,수인분당선,한티,10538,9963,20501
190,2020-01-05,수인분당선,도곡,3064,3010,6074
191,2020-01-05,수인분당선,구룡,739,787,1526
192,2020-01-05,수인분당선,개포동,2334,2284,4618
193,2020-01-05,수인분당선,대모산입구,1812,1715,3527
194,2020-01-05,수인분당선,수서,9696,9216,18912
195,2020-01-05,수인분당선,복정,1,0,1
196,2020-01-05,수인분당선,수원,5971,4204,10175
197,2020-01-05,수인분당선,서울숲,4191,4329,8520
198,2020-01-05,수인분당선,압구정로데오,8778,9495,18273
199,2020-01-05,수인분당선,강남구청,3550,4181,7731
200,2020-01-05,수인분당선,선정릉,2438,2526,4964
