,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
155,20200112,우이신설선,신설동,1226,1272,2498
156,20200113,우이신설선,북한산우이,2309,2013,4322
157,20200113,우이신설선,솔밭공원,2617,2565,5182
158,20200113,우이신설선,4.19민주묘지,2877,2782,5659
159,20200113,우이신설선,가오리,4350,4332,8682
160,20200113,우이신설선,화계,3690,3592,7282
161,20200113,우이신설선,삼양,2234,2398,4632
162,20200113,우이신설선,삼양사거리,2676,2822,5498
163,20200113,우이신설선,솔샘,6378,5933,12311
164,20200113,우이신설선,북한산보국문,6243,6136,12379
165,20200113,우이신설선,정릉,4755,4443,9198
166,20200113,우이신설선,성신여대입구(돈암),3776,4264,8040
167,20200113,우이신설선,보문,1651,1618,3269
168,20200113,우이신설선,신설동,2239,2232,4471
169,20200114,우이신설선,성신여대입구(돈암),3828,4193,8021
170,20200114,우이신설선,정릉,4708,4467,9175
171,20200114,우이신설선,북한산보국문,6434,6067,12501
172,20200114,우이신설선,솔샘,6374,5963,12337
173,20200114,우이신설선,삼양사거리,2694,2762,5456
174,20200114,우이신설선,삼양,2133,2329,4462
175,20200114,우이신설선,화계,3899,3617,7516
176,20200114,우이신설선,가오리,4553,4541,9094
177,20200114,우이신설선,4.19민주묘지,2862,2852,5714
178,20200114,우이신설선,솔밭공원,2720,2625,5345
179,20200114,우이신설선,북한산우이,2497,2188,4685
180,20200114,우이신설선,보문,1680,1692,3372
181,20200114,우이신설선,신설동,2199,2247,4446
182,20200115,우이신설선,북한산우이,2479,2124,4603
183,20200115,우이신설선,솔밭공원,2613,2562,5175
184,20200115,우이신설선,4.19민주묘지,3054,2897,5951
185,20200115,우이신설선,가오리,4424,4362,8786
186,20200115,우이신설선,화계,3694,3604,7298
187,20200115,우이신설선,삼양,2239,2439,4678
188,20200115,우이신설선,삼양사거리,2753,2817,5570
189,20200115,우이신설선,솔샘,6427,6011,12438
190,20200115,우이신설선,북한산보국문,6521,6095,12616
191,20200115,우이신설선,정릉,4847,4586,9433
192,20200115,우이신설선,성신여대입구(돈암),3966,4365,8331
193,20200115,우이신설선,보문,1669,1720,3389
194,20200115,우이신설선,신설동,2304,2307,4611
195,20200116,우이신설선,신설동,2259,2274,4533
196,20200116,우이신설선,보문,1647,1717,3364
197,20200116,우이신설선,성신여대입구(돈암),3964,4179,8143
198,20200116,우이신설선,정릉,4805,4395,9200
199,20200116,우이신설선,북한산보국문,6408,6071,12479
200,20200116,우이신설선,솔샘,6386,5955,12341
201,20200116,우이신설선,삼양사거리,2745,2829,5574
202,20200116,우이신설선,삼양,2225,2389,4614
203,20200116,우이신설선,화계,3719,3539,7258
204,20200116,우이신설선,가오리,4637,4533,9170
205,20200116,우이신설선,4.19민주묘지,2934,2747,5681
206,20200116,우이신설선,솔밭공원,2746,2591,5337
207,20200116,우이신설선,북한산우이,2604,2268,4872
208,20200117,우이신설선,북한산우이,2517,2277,4794
209,20200117,우이신설선,솔밭공원,2789,2526,5315
210,20200117,우이신설선,4.19민주묘지,2987,2830,5817
211,20200117,우이신설선,가오리,4530,4432,8962
212,20200117,우이신설선,화계,3831,3491,7322
213,20200117,우이신설선,삼양,2382,2505,4887
214,20200117,우이신설선,삼양사거리,2765,2776,5541
215,20200117,우이신설선,솔샘,6420,5880,12300
216,20200117,우이신설선,북한산보국문,6730,6140,12870
217,20200117,우이신설선,정릉,4953,4449,9402
218,20200117,우이신설선,성신여대입구(돈암),4047,4520,8567
219,20200117,우이신설선,보문,1723,1761,3484
220,20200117,우이신설선,신설동,2264,2372,4636
221,20200118,우이신설선,신설동,1528,1574,3102
222,20200118,우이신설선,북한산우이,3024,3003,6027
223,20200118,우이신설선,솔밭공원,2155,1889,4044
224,20200118,우이신설선,4.19민주묘지,2453,2184,4637
225,20200118,우이신설선,가오리,3411,3222,6633
226,20200118,우이신설선,화계,2887,2657,5544
227,20200118,우이신설선,삼양,1792,1817,3609
228,20200118,우이신설선,삼양사거리,2157,2125,4282
229,20200118,우이신설선,솔샘,4429,3875,8304
230,20200118,우이신설선,북한산보국문,5452,4658,10110
231,20200118,우이신설선,정릉,4031,3226,7257
232,20200118,우이신설선,성신여대입구(돈암),3297,3803,7100
233,20200118,우이신설선,보문,1324,1331,2655
234,20200119,우이신설선,성신여대입구(돈암),2452,2829,5281
235,20200119,우이신설선,보문,1201,1195,2396
236,20200119,우이신설선,신설동,1119,1199,2318
237,20200119,우이신설선,북한산우이,2642,2641,5283
238,20200119,우이신설선,솔밭공원,1528,1468,2996
239,20200119,우이신설선,4.19민주묘지,1795,1584,3379
240,20200119,우이신설선,가오리,2599,2391,4990
241,20200119,우이신설선,화계,2195,2056,4251
242,20200119,우이신설선,삼양,1350,1335,2685
243,20200119,우이신설선,삼양사거리,1602,1542,3144
244,20200119,우이신설선,솔샘,3140,2842,5982
245,20200119,우이신설선,북한산보국문,4029,3580,7609
246,20200119,우이신설선,정릉,3043,2430,5473
247,20200120,우이신설선,보문,1710,1727,3437
248,20200120,우이신설선,성신여대입구(돈암),3793,4268,8061
249,20200120,우이신설선,정릉,4845,4458,9303
250,20200120,우이신설선,북한산보국문,6308,6068,12376
251,20200120,우이신설선,솔샘,6529,6029,12558
252,20200120,우이신설선,삼양사거리,2775,2785,5560
253,20200120,우이신설선,삼양,2294,2496,4790
254,20200120,우이신설선,화계,3757,3562,7319
255,20200120,우이신설선,가오리,4503,4531,9034
256,20200120,우이신설선,4.19민주묘지,2917,2785,5702
257,20200120,우이신설선,솔밭공원,2906,2847,5753
258,20200120,우이신설선,북한산우이,2396,2157,4553
259,20200120,우이신설선,신설동,2336,2341,4677
260,20200121,우이신설선,북한산우이,2438,2175,4613
261,20200121,우이신설선,솔밭공원,2777,2640,5417
262,20200121,우이신설선,4.19민주묘지,2931,2833,5764
263,20200121,우이신설선,가오리,4511,4499,9010
264,20200121,우이신설선,화계,3824,3643,7467
265,20200121,우이신설선,삼양,2253,2465,4718
266,20200121,우이신설선,삼양사거리,2745,2905,5650
267,20200121,우이신설선,솔샘,6490,6089,12579
268,20200121,우이신설선,북한산보국문,6299,5882,12181
269,20200121,우이신설선,정릉,4886,4459,9345
270,20200121,우이신설선,성신여대입구(돈암),3828,4240,8068
271,20200121,우이신설선,보문,1660,1709,3369
272,20200121,우이신설선,신설동,2315,2354,4669
273,20200122,우이신설선,북한산우이,2410,2093,4503
274,20200122,우이신설선,솔밭공원,2641,2522,5163
275,20200122,우이신설선,4.19민주묘지,2880,2767,5647
276,20200122,우이신설선,가오리,4548,4474,9022
277,20200122,우이신설선,화계,3822,3546,7368
278,20200122,우이신설선,삼양,2188,2365,4553
279,20200122,우이신설선,삼양사거리,2698,2802,5500
280,20200122,우이신설선,솔샘,6557,5929,12486
281,20200122,우이신설선,북한산보국문,6406,5905,12311
282,20200122,우이신설선,정릉,4828,4491,9319
283,20200122,우이신설선,성신여대입구(돈암),3783,4273,8056
284,20200122,우이신설선,보문,1714,1715,3429
285,20200122,우이신설선,신설동,2393,2350,4743
286,20200123,우이신설선,북한산우이,2279,1946,4225
287,20200123,우이신설선,솔밭공원,2571,2302,4873
288,20200123,우이신설선,4.19민주묘지,2751,2429,5180
289,20200123,우이신설선,가오리,4276,4178,8454
290,20200123,우이신설선,화계,3527,3148,6675
291,20200123,우이신설선,삼양,2092,2244,4336
292,20200123,우이신설선,삼양사거리,2525,2577,5102
293,20200123,우이신설선,솔샘,6152,5355,11507
294,20200123,우이신설선,북한산보국문,6129,5236,11365
295,20200123,우이신설선,정릉,4584,3976,8560
296,20200123,우이신설선,성신여대입구(돈암),3650,4179,7829
297,20200123,우이신설선,보문,1576,1578,3154
298,20200123,우이신설선,신설동,2107,2149,4256
299,20200124,우이신설선,신설동,739,840,1579
300,20200124,우이신설선,보문,813,769,1582
301,20200124,우이신설선,성신여대입구(돈암),1676,1978,3654
302,20200124,우이신설선,정릉,2175,1744,3919
303,20200124,우이신설선,북한산보국문,3103,2355,5458
304,20200124,우이신설선,솔샘,2420,1986,4406
305,20200124,우이신설선,삼양사거리,1195,1182,2377
306,20200124,우이신설선,삼양,1062,1093,2155
307,20200124,우이신설선,화계,1650,1459,3109
308,20200124,우이신설선,가오리,2102,1999,4101
309,20200124,우이신설선,4.19민주묘지,1334,1146,2480
310,20200124,우이신설선,솔밭공원,1275,1188,2463
311,20200124,우이신설선,북한산우이,1571,1625,3196
312,20200125,우이신설선,신설동,699,715,1414
313,20200125,우이신설선,북한산우이,2675,2598,5273
314,20200125,우이신설선,솔밭공원,1362,1360,2722
315,20200125,우이신설선,4.19민주묘지,1492,1358,2850
316,20200125,우이신설선,가오리,2292,2111,4403
317,20200125,우이신설선,화계,1963,1698,3661
318,20200125,우이신설선,삼양,1160,1242,2402
319,20200125,우이신설선,삼양사거리,1360,1351,2711
320,20200125,우이신설선,솔샘,2501,2292,4793
321,20200125,우이신설선,북한산보국문,3122,2801,5923
322,20200125,우이신설선,정릉,2273,1935,4208
323,20200125,우이신설선,성신여대입구(돈암),1311,1743,3054
324,20200125,우이신설선,보문,840,792,1632
325,20200126,우이신설선,북한산우이,2978,2904,5882
326,20200126,우이신설선,솔밭공원,1421,1325,2746
327,20200126,우이신설선,4.19민주묘지,1504,1324,2828
328,20200126,우이신설선,가오리,2354,2074,4428
329,20200126,우이신설선,화계,1833,1725,3558
330,20200126,우이신설선,삼양,1127,1133,2260
331,20200126,우이신설선,삼양사거리,1461,1443,2904
332,20200126,우이신설선,솔샘,2623,2392,5015
333,20200126,우이신설선,북한산보국문,3446,3082,6528
334,20200126,우이신설선,정릉,2500,2169,4669
335,20200126,우이신설선,성신여대입구(돈암),1897,2433,4330
336,20200126,우이신설선,보문,835,890,1725
337,20200126,우이신설선,신설동,1039,987,2026
338,20200127,우이신설선,북한산우이,3099,3006,6105
339,20200127,우이신설선,솔밭공원,1287,1271,2558
340,20200127,우이신설선,4.19민주묘지,1668,1515,3183
341,20200127,우이신설선,가오리,2412,2179,4591
342,20200127,우이신설선,화계,1842,1826,3668
343,20200127,우이신설선,삼양,1131,1194,2325
344,20200127,우이신설선,삼양사거리,1439,1381,2820
345,20200127,우이신설선,솔샘,2615,2401,5016
346,20200127,우이신설선,북한산보국문,3396,3075,6471
347,20200127,우이신설선,정릉,2401,2151,4552
348,20200127,우이신설선,성신여대입구(돈암),2381,2810,5191
349,20200127,우이신설선,보문,898,958,1856
350,20200127,우이신설선,신설동,1001,1024,2025
351,20200128,우이신설선,북한산우이,2380,2141,4521
352,20200128,우이신설선,솔밭공원,2338,2344,4682
353,20200128,우이신설선,4.19민주묘지,2676,2562,5238
354,20200128,우이신설선,가오리,4178,4091,8269
355,20200128,우이신설선,화계,3460,3271,6731
356,20200128,우이신설선,삼양,1967,2199,4166
357,20200128,우이신설선,삼양사거리,2528,2610,5138
358,20200128,우이신설선,솔샘,5743,5499,11242
359,20200128,우이신설선,북한산보국문,5775,5508,11283
360,20200128,우이신설선,정릉,4303,4186,8489
361,20200128,우이신설선,성신여대입구(돈암),3694,3968,7662
362,20200128,우이신설선,보문,1491,1472,2963
363,20200128,우이신설선,신설동,2157,2164,4321
364,20200129,우이신설선,북한산우이,2598,2380,4978
365,20200129,우이신설선,솔밭공원,2491,2436,4927
366,20200129,우이신설선,4.19민주묘지,2802,2729,5531
367,20200129,우이신설선,가오리,4350,4366,8716
368,20200129,우이신설선,화계,3482,3448,6930
369,20200129,우이신설선,삼양,2200,2395,4595
370,20200129,우이신설선,삼양사거리,2694,2707,5401
371,20200129,우이신설선,솔샘,6186,5834,12020
372,20200129,우이신설선,북한산보국문,6076,5801,11877
373,20200129,우이신설선,정릉,4601,4343,8944
374,20200129,우이신설선,성신여대입구(돈암),3566,4079,7645
375,20200129,우이신설선,보문,1623,1670,3293
376,20200129,우이신설선,신설동,2308,2309,4617
377,20200130,우이신설선,성신여대입구(돈암),3640,4055,7695
378,20200130,우이신설선,신설동,2312,2290,4602
379,20200130,우이신설선,삼양사거리,2622,2665,5287
380,20200130,우이신설선,삼양,2199,2350,4549
381,20200130,우이신설선,화계,3581,3430,7011
382,20200130,우이신설선,가오리,4427,4333,8760
383,20200130,우이신설선,4.19민주묘지,2865,2758,5623
384,20200130,우이신설선,솔밭공원,2554,2472,5026
385,20200130,우이신설선,북한산우이,2634,2342,4976
386,20200130,우이신설선,보문,1623,1648,3271
387,20200130,우이신설선,정릉,4564,4324,8888
388,20200130,우이신설선,북한산보국문,6070,5805,11875
389,20200130,우이신설선,솔샘,6169,5681,11850
390,20200131,우이신설선,북한산우이,2611,2267,4878
391,20200131,우이신설선,솔밭공원,2484,2326,4810
392,20200131,우이신설선,4.19민주묘지,2733,2656,5389
393,20200131,우이신설선,가오리,4232,4152,8384
394,20200131,우이신설선,화계,3576,3315,6891
395,20200131,우이신설선,삼양,2088,2278,4366
396,20200131,우이신설선,삼양사거리,2612,2645,5257
397,20200131,우이신설선,솔샘,6051,5477,11528
398,20200131,우이신설선,북한산보국문,6044,5677,11721
399,20200131,우이신설선,정릉,4447,4187,8634
400,20200131,우이신설선,성신여대입구(돈암),3129,3314,6443
401,20200131,우이신설선,보문,1564,1649,3213
402,20200131,우이신설선,신설동,2279,2293,4572
403,20200201,우이신설선,북한산우이,2578,2684,5262
404,20200201,우이신설선,솔밭공원,1652,1577,3229
405,20200201,우이신설선,4.19민주묘지,2026,1715,3741
406,20200201,우이신설선,가오리,2721,2580,5301
